Table.1 Tallies for the score and each scoring element by package type
label,gem,maven,npm,nuget,pypi,total
score median,60.0,27,60.0,30.0,60,45.0
score average,52.3,25.1,59.1,23.6,54.7,43.1
declared,987,100,968,634,990,3679
discovered average,3.2,44.4,8.7,1.1,17.2,14.5
consistency,95,25,147,4,347,618
spdx,828,615,889,248,708,3288
full_text,164,25,203,1,261,654
package_counts,998,925,970,1000,999,4892


Table 2. Scoring elements percentage by package type
label,gem,maven,npm,nuget,pypi,total
score average,52.3,25.1,59.1,23.6,54.7,43.1
percentage with declared,98.9,10.8,99.8,63.4,99.1,75.2
discovered average,3.2,44.4,8.7,1.1,17.2,14.5
percentage with consistency,9.5,2.7,15.2,0.4,34.7,12.6
percentage with spdx,83.0,66.5,91.6,24.8,70.9,67.2
percentage with full_text,16.4,2.7,20.9,0.1,26.1,13.4


Table 3. Number of packages by license score brackets and by type
label,gem,maven,npm,nuget,pypi,total
0,6,227,2,338,8,581
1 to 9,0,8,0,2,0,10
10 to 19,4,126,0,13,1,144
20 to 29,0,113,0,8,0,121
30 to 39,149,341,64,400,231,1185
40 to 49,294,37,151,211,212,905
50 to 59,11,30,17,6,43,107
60 to 69,437,16,582,22,223,1280
70 to 79,76,9,84,0,196,365
80 to 89,18,16,36,0,70,140
90 to 99,3,2,17,0,15,37
100,0,0,17,0,0,17
package_counts,998,925,970,1000,999,4892


Table 4. Number of packages over a score by type
label,gem,maven,npm,nuget,pypi,total
over 40,839,110,904,239,759,2851
over 50,545,73,753,28,547,1946
over 60,534,43,736,22,504,1839
over 70,97,27,154,0,281,559
over 80,21,18,70,0,85,194


Table 5. Number of packages by percentage of discovered license brackets and by type
label,gem,maven,npm,nuget,pypi,total
0,808,334,770,939,454,3305
1 to 9,109,44,56,18,189,416
10 to 19,26,13,20,24,74,157
20 to 29,15,14,22,3,51,105
30 to 39,11,33,8,10,39,101
40 to 49,11,12,3,3,28,57
50 to 59,6,51,26,3,48,134
60 to 69,2,53,13,0,37,105
70 to 79,3,60,8,0,24,95
80 to 89,4,121,11,0,30,166
90 to 99,3,185,7,0,24,219
100,0,5,26,0,1,32
package_counts,998,925,970,1000,999,4892


