download_url,type,namespace,name,version,qualifier,provider
https://github.com/davecgh/go-spew/archive/v1.1.1.tar.gz,golang,davecgh,go-spew,v 1.1.1,,github
https://github.com/nunit/nunit/archive/v3.10.1.tar.gz,nuget,,nunit,v 3.10.1,,github
https://github.com/go-yaml/yaml/archive/v2.2.1.tar.gz,golang,go-yaml,yaml,v 2.2.1,,github
https://github.com/twilio/twilio-csharp/archive/5.17.0.tar.gz,nuget,,twillo-csharp,v 5.17.0,,github
https://registry.npmjs.org/react/-/react-16.5.2.tgz,npm,,react,v 16.5.2,,npmjs
https://registry.npmjs.org/vue/-/vue-2.5.17.tgz,npm,,vue,v 2.5.17,,npmjs
https://zlib.net/zlib-1.2.11.tar.gz,generic,,zlib,v 1.2.11,,web
http://central.maven.org/maven2/commons-io/commons-io/2.5/commons-io-2.5-sources.jar,maven,commons-io,commons-io,v 2.5,classifier=sources,mavencentral
http://central.maven.org/maven2/org/jfree/jfreechart/1.5.0/jfreechart-1.5.0-sources.jar,maven,org.jfree,jfreechart,v 1.5.0,classifier=sources,mavencentral
https://files.pythonhosted.org/packages/4b/12/c1fbf4971fda0e4de05565694c9f0c92646223cff53f15b6eb248a310a62/Flask-1.0.2.tar.gz,pypi,,Flask,v 1.0.2,,pypi
https://files.pythonhosted.org/packages/6e/9c/6a003320b00ef237f94aa74e4ad66c57a7618f6c79d67527136e2544b728/setuptools-40.4.3.zip,pypi,,setuptools,v 40.4.3,,pypi
http://central.maven.org/maven2/junit/junit/4.12/junit-4.12-sources.jar,maven,junit,junit,4.12,classifer=source,mavencentral
http://central.maven.org/maven2/org/slf4j/log4j-over-slf4j/1.8.0-beta2/log4j-over-slf4j-1.8.0-beta2-sources.jar,maven,org.slf4j,log4j-over-slf4j,1.8.0-beta2,classifer=source,mavencentral
http://central.maven.org/maven2/org/scala-lang/scala-library/2.13.0-M5/scala-library-2.13.0-M5-sources.jar,maven,org.scala-lang,scala-library,2.13.0-M5,classifer=source,mavencentral
http://central.maven.org/maven2/com/google/guava/guava/27.0-jre/guava-27.0-jre-sources.jar,maven,com.google.guava,guava,27.0-jre,classifer=source,mavencentral
http://central.maven.org/maven2/org/clojure/clojure/1.10.0-RC1/clojure-1.10.0-RC1-sources.jar,maven,org.clojure,clojure,1.10.0-RC1,classifer=source,mavencentral
http://central.maven.org/maven2/commons-io/commons-io/2.6/commons-io-2.6-sources.jar,maven,commons-io,commons-io,2.6,classifer=source,mavencentral
http://central.maven.org/maven2/org/apache/logging/log4j/log4j/2.11.1/log4j-2.11.1-sources.jar,maven,org.apache.logging.log4j,log4j,2.11.1,classifer=source,mavencentral
http://central.maven.org/maven2/ch/qos/logback/logback-classic/1.3.0-alpha4/logback-classic-1.3.0-alpha4-sources.jar,maven,ch.qos.logback,logback-classic,1.3.0-alpha4,classifer=source,mavencentral
http://central.maven.org/maven2/org/mockito/mockito-core/2.23.0/mockito-core-2.23.0-sources.jar,maven,org.mockito,mockito-core,2.23.0,classifer=source,mavencentral
http://central.maven.org/maven2/org/slf4j/slf4j-log4j12/1.8.0-beta2/slf4j-log4j12-1.8.0-beta2-sources.jar,maven,org.slf4j,slf4j-log4j12,1.8.0-beta2,classifer=source,mavencentral
https://files.pythonhosted.org/packages/45/ae/8a0ad77defb7cc903f09e551d88b443304a9bd6e6f124e75c0fbbf6de8f7/pip-18.1.tar.gz,pypi,,pip,18.1,,pypi
https://files.pythonhosted.org/packages/16/d8/bc6316cf98419719bd59c91742194c111b6f2e85abac88e496adefaf7afe/six-1.11.0.tar.gz,pypi,,six,1.11.0,,pypi
https://files.pythonhosted.org/packages/2f/16/f11604f387ac1a1dd739e14bbee0cd0e7a0e359be7557fc66efe96acbc6e/botocore-1.12.30.tar.gz,pypi,,botocore,1.12.30,,pypi
https://files.pythonhosted.org/packages/a0/b0/a4e3241d2dee665fea11baec21389aec6886655cd4db7647ddf96c3fad15/python-dateutil-2.7.3.tar.gz,pypi,,python-dateutil,2.7.3,,pypi
https://files.pythonhosted.org/packages/9a/66/c6a5ae4dbbaf253bd662921b805e4972451a6d214d0dc9fb3300cb642320/s3transfer-0.1.13.tar.gz,pypi,,s3transfer,0.1.13,,pypi
https://files.pythonhosted.org/packages/9e/a3/1d13970c3f36777c583f136c136f804d70f500168edc1edea6daa7200769/PyYAML-3.13.tar.gz,pypi,,pyyaml,3.13,,pypi
https://files.pythonhosted.org/packages/6e/9c/6a003320b00ef237f94aa74e4ad66c57a7618f6c79d67527136e2544b728/setuptools-40.4.3.zip,pypi,,setuptools,40.4.3,,pypi
https://files.pythonhosted.org/packages/84/f4/5771e41fdf52aabebbadecc9381d11dea0fa34e4759b4071244fa094804c/docutils-0.14.tar.gz,pypi,,docutils,0.14,,pypi
https://files.pythonhosted.org/packages/10/46/059775dc8e50f722d205452bced4b3cc965d27e8c3389156acd3b1123ae3/pyasn1-0.4.4.tar.gz,pypi,,pyasn1,0.4.4,,pypi
https://files.pythonhosted.org/packages/a5/74/05ffd00b4b5c08306939c485869f5dc40cbc27357195b0a98b18e4c48893/urllib3-1.24.tar.gz,pypi,,urllib3,1.24,,pypi
https://www.nuget.org/api/v2/package/Zoninn_JustClick_Authentication_V2.1/2.1.0,nuget,,Zoninn_JustClick_Authentication_V2.1,2.1.0,,nuget
https://www.nuget.org/api/v2/package/DynamicaLabs.XrmTools.Testing/1.0.1,nuget,,DynamicaLabs.XrmTools.Testing,1.0.1,,nuget
https://www.nuget.org/api/v2/package/SimpleEventMonitor.Web/0.9.8,nuget,,SimpleEventMonitor.Web,0.9.8,,nuget
https://www.nuget.org/api/v2/package/Calculadora_M7_UF2_A02/1.0.0,nuget,,Calculadora_M7_UF2_A02,1.0.0,,nuget
https://www.nuget.org/api/v2/package/moin/1.0.0,nuget,,moin,1.0.0,,nuget
https://www.nuget.org/api/v2/package/uibuilder/1.2.0,nuget,,uibuilder,1.2.0,,nuget
https://www.nuget.org/api/v2/package/SAPCrap/1.0.0,nuget,,SAPCrap,1.0.0,,nuget
https://www.nuget.org/api/v2/package/SharePoint.Search.Extended.Administration.ResourceStorage/15.0.0,nuget,,SharePoint.Search.Extended.Administration.ResourceStorage,15.0.0,,nuget
https://www.nuget.org/api/v2/package/ArkTm/1.0.0.1,nuget,,ArkTm,1.0.0.1,,nuget
https://www.nuget.org/api/v2/package/MyLib12/0.1.0,nuget,,MyLib12,0.1.0,,nuget
https://registry.npmjs.org/lodash/-/lodash-4.17.11.tgz,npm,,lodash,4.17.11,,npmjs
https://registry.npmjs.org/chalk/-/chalk-2.4.1.tgz,npm,,chalk,2.4.1,,npmjs
https://registry.npmjs.org/request/-/request-2.88.0.tgz,npm,,request,2.88.0,,npmjs
https://registry.npmjs.org/commander/-/commander-2.19.0.tgz,npm,,commander,2.19.0,,npmjs
https://registry.npmjs.org/fs-extra/-/fs-extra-7.0.0.tgz,npm,,fs-extra,7.0.0,,npmjs
https://registry.npmjs.org/express/-/express-4.16.4.tgz,npm,,express,4.16.4,,npmjs
https://registry.npmjs.org/webpack/-/webpack-4.22.0.tgz,npm,,webpack,4.22.0,,npmjs
https://registry.npmjs.org/react/-/react-16.5.2.tgz,npm,,react,16.5.2,,npmjs
https://registry.npmjs.org/async/-/async-2.6.1.tgz,npm,,async,2.6.1,,npmjs
https://registry.npmjs.org/babel-core/-/babel-core-6.26.3.tgz,npm,,babel-core,6.26.3,,npmjs
https://rubygems.org/gems/rspec-core-3.8.0.gem,gem,,rspec-core,3.8.0,,rubygems
https://rubygems.org/gems/diff-lcs-1.3.gem,gem,,diff-lcs,1.3,,rubygems
https://rubygems.org/gems/rspec-expectations-3.8.2.gem,gem,,rspec-expectations,3.8.2,,rubygems
https://rubygems.org/gems/rspec-mocks-3.8.0.gem,gem,,rspec-mocks,3.8.0,,rubygems
https://rubygems.org/gems/rspec-3.8.0.gem,gem,,rspec,3.8.0,,rubygems
https://rubygems.org/gems/rspec-support-3.8.0.gem,gem,,rspec-support,3.8.0,,rubygems
https://rubygems.org/gems/bundler-1.16.6.gem,gem,,bundler,1.16.6,,rubygems
https://rubygems.org/gems/multi_json-1.13.1.gem,gem,,multi_json,1.13.1,,rubygems
https://rubygems.org/gems/rack-2.0.5.gem,gem,,rack,2.0.5,,rubygems
https://rubygems.org/gems/rake-12.3.1.gem,gem,,rake,12.3.1,,rubygems
