Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author,start_line,end_line,copyright,copyright_holder
/Flask-1.0.2.tar.gz-extract/,directory,Flask-1.0.2.tar.gz-extract,Flask-1.0.2.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,222,43,1479907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/,directory,Flask-1.0.2,Flask-1.0.2,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,222,42,1479907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/AUTHORS,file,AUTHORS,AUTHORS,,344,2018-05-02,7637cbec8bab37af79afeeda1d344bd22b7a973d,980fca6e8e9c4cd54469345199d411fc,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/AUTHORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the Pallets team and community contributors.,1,1,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/AUTHORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armin Ronacher.,1,1,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/CHANGES.rst,file,CHANGES.rst,CHANGES,.rst,42294,2018-05-02,bfaf8afc1c076b6816a261b0a8875d2a0ef2c507,438acd162f35fe4156e7db6e83ae9460,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/LICENSE,file,LICENSE,LICENSE,,1575,2018-05-02,42dd5ee1eb8465027fad79f01df54ad8c3ffba65,c011883ac26229b8ba3084f55c7664c6,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-new,99.53,BSD-3-Clause,BSD-3-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/BSD-3-Clause,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-new,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause,bsd-new_91_1.RULE,bsd-new,[u'bsd-new'],True,False,False,False,3-seq,214,213,99.53,100.00,,5,31,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Copyright (c) 2010 by the Pallets team.,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,the Pallets team.
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/Makefile,file,Makefile,Makefile,,587,2018-05-02,0eeea267a6f9812d3e71968ab8ee3abea11b5f6e,f37a2684898ce846f22f33d2bfc83899,text/x-makefile,"makefile script, ASCII text",Makefile,False,True,False,False,True,True,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/MANIFEST.in,file,MANIFEST.in,MANIFEST,.in,169,2018-05-02,01372b7b38ec86d7a70c54a611dc945ca675ee27,757c7e976d3d4249bfa29d33ca80b41a,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/PKG-INFO,file,PKG-INFO,PKG-INFO,,4141,2018-05-02,10bb172aaba6a070c7d49c8a65be6c766539250a,5c87f908fbf1750caeb18862d3ca2a64,text/plain,ASCII text,JavaScript+Lasso,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Flask-1.0.2.tar.gz-extract/Flask-1.0.2/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-new,11.00,BSD-3-Clause,BSD-3-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/BSD-3-Clause,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-new,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause,bsd-new_89.RULE,bsd-new,[u'bsd-new'],False,False,True,False,2-aho,2,2,100.00,11.00,,10,10,,
