Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/setuptools-40.4.3.zip-extract/,directory,setuptools-40.4.3.zip-extract,setuptools-40.4.3.zip-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,198,25,2521822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/,directory,setuptools-40.4.3,setuptools-40.4.3,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,198,24,2521822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/bootstrap.py,file,bootstrap.py,bootstrap,.py,1669,2018-09-23,d47f8c5190da92a654b1d3c1ede867e5d3fc8387,b2ca319fce0133200a20e0fcbff3279a,text/plain,"Python script, ASCII text executable",Python,False,True,False,False,True,True,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/CHANGES.rst,file,CHANGES.rst,CHANGES,.rst,137076,2018-09-23,b4a91ecf922fbc72449b3485b0bc7ad015ca4f2c,52b91b2a005552c920f254377067009f,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/CHANGES.rst,,,,,,,,,,,,,,,,,,,,,,,,,,mit,17.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,969,969,mit_27.RULE,mit,[u'mit'],False,False,True,False,2-aho,3,3,100.00,17.00,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/conftest.py,file,conftest.py,conftest,.py,489,2018-09-23,2f55ae7d4479f7d9c448248b3f398b33c4afe927,a6ba00ab65b323552768a70781efdea1,text/x-python,"Python script, ASCII text executable",Python,False,True,False,False,True,True,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/easy_install.py,file,easy_install.py,easy_install,.py,126,2018-09-23,aacb1800c66df9d4aa19b5527563421737f73020,97b52fe7253bf4683f9f626f015eb72e,text/plain,"Python script, ASCII text executable",Python,False,True,False,False,True,True,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/launcher.c,file,launcher.c,launcher,.c,10317,2018-09-23,239fc6b438ffca84c89a2083b17b19f3cf6556a4,8659a417c668eaaca1a38ac708f52685,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/LICENSE,file,LICENSE,LICENSE,,1078,2018-09-23,a5234543d56e03c950c0080826b53a0cb97671af,9a33897f1bca1160d7aad3835152e158,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/setuptools-40.4.3.zip-extract/setuptools-40.4.3/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,3,19,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,,
