Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/vue-2.5.17.tgz-extract/,directory,vue-2.5.17.tgz-extract,vue-2.5.17.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,213,49,2461837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/vue-2.5.17.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,213,48,2461837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/vue-2.5.17.tgz-extract/package/LICENSE,file,LICENSE,LICENSE,,1091,1985-10-26,bb6f73639ae98834c7baa1f6d696e256f9b3857b,9fcdf292094b4bb62e6ae00235fcc719,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/vue-2.5.17.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,97.09,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,1,21,mit_26.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,167,100.00,100.00,,
/vue-2.5.17.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,"Copyright (c) 2013-present, Yuxi",
/vue-2.5.17.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,Yuxi
/vue-2.5.17.tgz-extract/package/package.json,file,package.json,package,.json,5492,1985-10-26,5f729686122169a5c7a0cd2a129613327e656ec7,aa9b58befab75e46ba9495d3deab357e,text/plain,ASCII text,JSON,False,True,False,False,True,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/vue-2.5.17.tgz-extract/package/package.json,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,63,63,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,
/vue-2.5.17.tgz-extract/package/README.md,file,README.md,README,.md,14739,1985-10-26,f8887787df5fdd596cb5208dec13468dc479b541,5a33ae68a09accb31b2807b4b7527c12,text/html,"HTML document, UTF-8 Unicode text, with very long lines",,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/vue-2.5.17.tgz-extract/package/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,95.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,16,16,mit_182.RULE,mit,[u'mit'],False,False,True,False,2-aho,7,7,100.00,95.00,,
/vue-2.5.17.tgz-extract/package/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,260,262,mit_183.RULE,mit,[u'mit'],False,False,False,True,2-aho,7,7,100.00,99.00,,
/vue-2.5.17.tgz-extract/package/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,264,,,,,,,,,,,,,"Copyright (c) 2013-present, Yuxi",
/vue-2.5.17.tgz-extract/package/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,264,,,,,,,,,,,,,,Yuxi
/vue-2.5.17.tgz-extract/package/dist/,directory,dist,dist,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,10,0,1938164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/vue-2.5.17.tgz-extract/package/dist/README.md,file,README.md,README,.md,4282,1985-10-26,d2673fb1d6f7c571468a2bf6bfdf70b471852938,a64ac1319064e7e88d336ce95f667d52,text/html,"HTML document, ASCII text, with very long lines",,False,True,False,False,False,False,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
