Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,copyright,start_line,end_line,copyright_holder,author
/1.0.0.nupkg-extract/,directory,1.0.0.nupkg-extract,1.0.0.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,12,7,3813460,,,,,,
/1.0.0.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,507,2016-01-05,ba2e01030418263c6e32decc180f7f4cb83a504d,1c1afbb52be4e8ee01bffc85654ecee4,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/1.0.0.nupkg-extract/Calculadora_M7_UF2_A02.nuspec,file,Calculadora_M7_UF2_A02.nuspec,Calculadora_M7_UF2_A02,.nuspec,438,2016-04-21,0a3904017f48db0701f296603a17262f9a20bf62,a25b2f473c43c7d55c83c836d5179092,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,
/1.0.0.nupkg-extract/moin.nuspec,file,moin.nuspec,moin,.nuspec,921,2016-02-20,ef1a96e4e47238d218e03a051d212f333b351165,287ef897120518dbe9254b40c20a379b,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,
/1.0.0.nupkg-extract/moin.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright 2016 Tag1 Tag2,14,14,,
/1.0.0.nupkg-extract/moin.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Tag1 Tag2,
/1.0.0.nupkg-extract/nuget.exe,file,nuget.exe,nuget,.exe,3787952,2016-02-20,56de2b3f051ef6d114ad71ece4ceb5330fe44e0e,1e0f14fdbc11c22280ed1bebc610fbf0,application/x-dosexec,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright EffectivePath SourcePath,29243,29243,,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright GetProperty EvaluatedValue,32754,32754,,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright SpecCommandFileExists SpecCommandCreatedNuSpec,32878,32878,,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,29243,29243,EffectivePath SourcePath,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,32754,32754,GetProperty EvaluatedValue,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,32878,32878,SpecCommandFileExists SpecCommandCreatedNuSpec,
/1.0.0.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,11807,11807,,Owners IconUrl
/1.0.0.nupkg-extract/SAPCrap.nuspec,file,SAPCrap.nuspec,SAPCrap,.nuspec,420,2016-01-05,efc364714c6844e720a1ef73d0a42fa2ba943ef5,282502034d337dfedfb61bf694a3519b,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,
/1.0.0.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,492,,,,,,
/1.0.0.nupkg-extract/_rels/.rels,file,.rels,.rels,,492,2016-01-05,e370358306c277836b6e620dadd19536bd2c061f,6c208624096d2e2a4f95f6b9c14b6ffa,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,
/1.0.0.nupkg-extract/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,3,1,21124,,,,,,
/1.0.0.nupkg-extract/lib/Calculadora.dll,file,Calculadora.dll,Calculadora,.dll,11776,2016-04-21,5cb5e8b9147201bd0eec59e86b5bcbbb9e509ba3,05b4caea82af7ece4eddbfc67ef961bf,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,,,,,,
/1.0.0.nupkg-extract/lib/Calculadora.dll,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright LegalTrademarks OriginalFilename,206,206,,
/1.0.0.nupkg-extract/lib/Calculadora.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,206,206,LegalTrademarks OriginalFilename,
/1.0.0.nupkg-extract/lib/net451/,directory,net451,net451,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,9348,,,,,,
