Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/botocore-1.12.30.tar.gz-extract/,directory,botocore-1.12.30.tar.gz-extract,botocore-1.12.30.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1491,426,34168441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/,directory,botocore-1.12.30,botocore-1.12.30,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1491,425,34168441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/LICENSE.txt,file,LICENSE.txt,LICENSE,.txt,549,2018-10-23,e42b85dcbe49e5aa66fe2117f92a60f4c39666d5,71a3e14f29ac5c23e1b5b934ca4ddfc9,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,3,12,apache-2.0_24.RULE,apache-2.0,[u'apache-2.0'],False,True,False,False,2-aho,78,78,100.00,100.00,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,"Copyright 2012-2017 Amazon.com, Inc.",,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,"Amazon.com, Inc.",
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/MANIFEST.in,file,MANIFEST.in,MANIFEST,.in,217,2018-10-23,21bf7fae3c46ee4f21aad9a1d4fd8ea05dd65d8a,09ea3f013117e2454eadd9870364e789,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/PKG-INFO,file,PKG-INFO,PKG-INFO,,2666,2018-10-23,a39bf1152c235f1b99f779557b227f608218cc64,ca0b770c8c22ec209f1b525900815296,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,29.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,8,8,apache-2.0_10.RULE,apache-2.0,[u'apache-2.0'],False,False,True,False,2-aho,5,5,100.00,29.00,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,35.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,48,48,pypi_apache_software_license.RULE,apache-2.0,[u'apache-2.0'],False,False,False,True,2-aho,6,6,100.00,35.00,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,Amazon Web Services Author-email UNKNOWN
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/README.rst,file,README.rst,README,.rst,1399,2018-10-23,62f2d26d6f102daddfdc22f9b724d04f6a058969,13e15a4b503771109c92f6d85af1e6fe,text/plain,ASCII text,,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/requirements.txt,file,requirements.txt,requirements,.txt,436,2018-10-23,fc0d097b319ff87eb5a0d6c2fa069958c2ce3220,696431a6081b69161ac2c84fed7e8cbf,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/setup.cfg,file,setup.cfg,setup,.cfg,499,2018-10-23,1438375a1a23573d4ab3e1d1abe0523f62ca7eba,99a7d1ad5e24cb6859f4a8666e63d26a,text/plain,ASCII text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/setup.py,file,setup.py,setup,.py,2913,2018-10-23,73173247f775205c1e14900f60299e96a5ecce60,9b21b65d4f3b0750f9462b400309ebec,text/plain,"a /usr/bin/env python script, ASCII text executable",Python,False,True,False,False,True,True,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/setup.py,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,29.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,72,72,apache-2.0_10.RULE,apache-2.0,[u'apache-2.0'],False,False,True,False,2-aho,5,5,100.00,29.00,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/setup.py,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,35.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,78,78,pypi_apache_software_license.RULE,apache-2.0,[u'apache-2.0'],False,False,False,True,2-aho,6,6,100.00,35.00,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/setup.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,,,,,,,,,,,,,,,Amazon Web
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/,directory,botocore,botocore,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,611,331,31233327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/__init__.py,file,__init__.py,__init__,.py,3487,2018-10-23,c96324b758b818c9a97d58d331b9fbc3e7bad27e,05518f594af92365d94ebd3446749229,text/x-python,"Python script, ASCII text executable",Python,False,True,False,False,True,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/__init__.py,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,4,13,apache-2.0_24.RULE,apache-2.0,[u'apache-2.0'],False,True,False,False,2-aho,78,78,100.00,100.00,,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/__init__.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Copyright (c) 2012-2013 Mitch Garnaat http://garnaat.org,,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/__init__.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,"Copyright 2012-2014 Amazon.com, Inc.",,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/__init__.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,Mitch Garnaat,
/botocore-1.12.30.tar.gz-extract/botocore-1.12.30/botocore/__init__.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,"Amazon.com, Inc.",
