Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/commons-io-2.5-sources.jar-extract/,directory,commons-io-2.5-sources.jar-extract,commons-io-2.5-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,126,11,1066592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.5-sources.jar-extract/META-INF/,directory,META-INF,META-INF,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,3,0,11951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.5-sources.jar-extract/META-INF/LICENSE.txt,file,LICENSE.txt,LICENSE,.txt,11359,2016-04-14,5a7d7df655ba40478fae80a6abafc6afc36f9b6a,b1e01b26bacfc2232046c90a330332b3,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.5-sources.jar-extract/META-INF/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,2,202,apache-2.0.LICENSE,apache-2.0,[u'apache-2.0'],True,False,False,False,1-hash,1608,1608,100.00,100.00,,
/commons-io-2.5-sources.jar-extract/META-INF/MANIFEST.MF,file,MANIFEST.MF,MANIFEST,.MF,421,2016-04-14,41ff79356517510c157035ac1b176007f2679bcc,4883bb4781731f9e2c1d0ee50c0cb6b0,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.5-sources.jar-extract/META-INF/NOTICE.txt,file,NOTICE.txt,NOTICE,.txt,171,2016-04-14,3cb086989399609a70da427ffa60e3aea51e3633,2724fefc51570df7fecf25b21ca68658,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.5-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,82.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,4,5,apache_5.RULE,apache-2.0 OR apache-1.1,"[u'apache-2.0', u'apache-1.1']",False,False,True,False,2-aho,14,14,100.00,82.00,,
/commons-io-2.5-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-1.1,82.00,Apache License 1.1,Apache 1.1,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://apache.org/licenses/LICENSE-1.1,https://enterprise.dejacode.com/urn/urn:dje:license:apache-1.1,Apache-1.1,https://spdx.org/licenses/Apache-1.1,4,5,apache_5.RULE,apache-2.0 OR apache-1.1,"[u'apache-2.0', u'apache-1.1']",False,False,True,False,2-aho,14,14,100.00,82.00,,
/commons-io-2.5-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,Copyright 2002-2016 The Apache Software Foundation,
/commons-io-2.5-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,The Apache Software Foundation
