Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/lodash-4.17.11.tgz-extract/,directory,lodash-4.17.11.tgz-extract,lodash-4.17.11.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1049,2,1399577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1049,1,1399577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_apply.js,file,_apply.js,_apply,.js,714,1985-10-26,cf8c13531bb2ebaaa912ed42cd51d35749780b49,d3ef9e89ba499ebaba74672b935bcc26,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayAggregator.js,file,_arrayAggregator.js,_arrayAggregator,.js,684,1985-10-26,4c46ec909fd72aca86fbba95f8042b39875a2fc2,ea6deb9f9aaca8e880ba9f7716c8d04f,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayEach.js,file,_arrayEach.js,_arrayEach,.js,537,1985-10-26,904f07de69303a57591f6f012ae390d37af3f595,5e7b5faacc1ca623b949a8a706cd360b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayEachRight.js,file,_arrayEachRight.js,_arrayEachRight,.js,528,1985-10-26,d9c9880639a791b9b7a50fa4b9d95987a9adb530,692fd011c71bc0b5854c2bbeba1404f7,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayEvery.js,file,_arrayEvery.js,_arrayEvery,.js,597,1985-10-26,1c52b5548127fec0d8e876e6612bc7579b64c88b,55a4cd76296213c873249e543222ea2a,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayFilter.js,file,_arrayFilter.js,_arrayFilter,.js,632,1985-10-26,de05ba1636ccd6f97f5527aaaa7bcd355ef96a3b,11af9f9bc841dd2986d25ccf0287361b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayIncludes.js,file,_arrayIncludes.js,_arrayIncludes,.js,526,1985-10-26,c1211511564c2074c24cd0a45e2fc63b94017d42,cc0a5849d8e357be8e95d80af3789c95,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayIncludesWith.js,file,_arrayIncludesWith.js,_arrayIncludesWith,.js,615,1985-10-26,ae055079baa36a646be539921afb899598b99ade,f876b1f5155b6a758516e05426d4ceb3,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayLikeKeys.js,file,_arrayLikeKeys.js,_arrayLikeKeys,.js,1778,1985-10-26,3e0338e1cbbfb9c9f1b00adf873e176478b985c2,a105e44741adeb269f237c78b85dba1f,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayMap.js,file,_arrayMap.js,_arrayMap,.js,556,1985-10-26,50a635afd8bfba130f5ec9cc693c06eb0ed57690,987edae0a7e4927837c1d22d9f46c35f,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayPush.js,file,_arrayPush.js,_arrayPush,.js,437,1985-10-26,8b9d6d4bcd8f6661ee23634aecda75d5395db2cc,a5db107cf04803f7e02fb83a0cb9a4bf,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayReduce.js,file,_arrayReduce.js,_arrayReduce,.js,787,1985-10-26,87b47db2e2ffbf2d671e1a974eec644d16424412,30190f4c8f3f642f3ec57df0cb104dba,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayReduceRight.js,file,_arrayReduceRight.js,_arrayReduceRight,.js,777,1985-10-26,59ee39e14d1be368c9de8d06b8a62ba7a57f9c18,d8e5f4adf72d5522413711c1cd8abee5,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arraySample.js,file,_arraySample.js,_arraySample,.js,363,1985-10-26,8b9ade97c8c183d58e1bcfbdcdf4b77b44c38245,d95fa12a71b899dfecb72c2d9341f4d1,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arraySampleSize.js,file,_arraySampleSize.js,_arraySampleSize,.js,500,1985-10-26,cfe8e3d04b52e678f1475ed3df969bc5eedea859,2a71d9757f7f5e53524bb21636c3eeb3,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arrayShuffle.js,file,_arrayShuffle.js,_arrayShuffle,.js,365,1985-10-26,7023c88e8b1fd408755327bf70fe8d58c9496607,306d7110c5a0f2b74fb81075820a6ea5,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_arraySome.js,file,_arraySome.js,_arraySome,.js,594,1985-10-26,b3e385ef53a7d44b49f705315ae30efc4b81d5b9,06e22c7ead9c15469d3e1af10172b726,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_asciiSize.js,file,_asciiSize.js,_asciiSize,.js,271,1985-10-26,befe650097f784878651dd1881da7efb3c0d0e73,7c8b138a16f81fab938a81b53c74051e,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_asciiToArray.js,file,_asciiToArray.js,_asciiToArray,.js,257,1985-10-26,4331bba9d396c601f9ac9e676283bc3ac25ccf8d,535913c60a3225d16dcd0dbd0627c8f1,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_asciiWords.js,file,_asciiWords.js,_asciiWords,.js,404,1985-10-26,164db22da4ac8a77d75ff57a1d63d0c4b9e48388,8ba4e3356c28703adf6b907d96345ffd,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_assignMergeValue.js,file,_assignMergeValue.js,_assignMergeValue,.js,582,1985-10-26,7fd48396b2393692858a13cd1d9fee4f9f56c034,de595d35898c9497307c8014c5846f7b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_assignValue.js,file,_assignValue.js,_assignValue,.js,899,1985-10-26,8889cd8e010ef1ab8259b9401f1ace23164a676a,0e03ca829340d63cbd671ca252fed636,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_assocIndexOf.js,file,_assocIndexOf.js,_assocIndexOf,.js,487,1985-10-26,b557d0550d466f2e0a20697d953061c8198bc3f2,e38b8af759142cb9a66dd619639ce152,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseAggregator.js,file,_baseAggregator.js,_baseAggregator,.js,746,1985-10-26,a0f27fd540785f2f3d54913950fcd555ca789b4f,94bb6f71a3bbe74d0895acb89c9e3d77,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseAssign.js,file,_baseAssign.js,_baseAssign,.js,470,1985-10-26,b12b76d29619f0fadf5c75c2b1f4d9c5a140af4d,c46e2377e0df338c9dc67194765b771d,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseAssignIn.js,file,_baseAssignIn.js,_baseAssignIn,.js,482,1985-10-26,1e9e2424746865f1ea7c278592329917a2d2ddd8,ca78e775f58165e28fa1cb9814b3a39b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseAssignValue.js,file,_baseAssignValue.js,_baseAssignValue,.js,625,1985-10-26,c09bc3ff6aa7082144eef5b7583f795f7d16ac19,7d9535455142d6c5bd54cf127e89e05c,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseAt.js,file,_baseAt.js,_baseAt,.js,569,1985-10-26,93dcc3d90a67de6c407d3f6ccda164d3fac140b9,66a260175f9e2a8030eae1587739b3e2,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseClamp.js,file,_baseClamp.js,_baseClamp,.js,571,1985-10-26,ce109abcb1e12c30e97c79917e51520aa544db9a,fd06a1222f81a963059cfd59d1c0e087,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseClone.js,file,_baseClone.js,_baseClone,.js,5613,1985-10-26,f294126ff721d47b196d14eed6c662f605144809,99b5037e2a936530125c6da0380824d0,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseConforms.js,file,_baseConforms.js,_baseConforms,.js,484,1985-10-26,f518eceb5bf9e6dc4c9cf811e07c3ff8469c902b,59c5c5f66d0a6f59879ad48b8d7b5af5,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseConformsTo.js,file,_baseConformsTo.js,_baseConformsTo,.js,718,1985-10-26,f2f1431ffc02fb8ab64d86abecdcfe2685d2eb4b,eb30ee6f12711087c87365f04724c578,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseCreate.js,file,_baseCreate.js,_baseCreate,.js,686,1985-10-26,202aced68f2ce65d35a3d9e7ee56e373de463233,ad00bfe1ef837383c3d4128b6f192b8b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseDelay.js,file,_baseDelay.js,_baseDelay,.js,672,1985-10-26,2a9133e727e4b0a6a9ec776addec9c791c812a4f,4fc96a5e6781eef08286b9870a2f5632,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseDifference.js,file,_baseDifference.js,_baseDifference,.js,1917,1985-10-26,b3dc957d88a325a9c4e11645134bc92eb807dec8,bb644a23b7e837dc52eef2e2bf441e73,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseEach.js,file,_baseEach.js,_baseEach,.js,455,1985-10-26,8df288083999c6711cdddc83d3f62ee092e0bd35,135329d8d3ac4bc3cbdd96d3f3fb7043,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseEachRight.js,file,_baseEachRight.js,_baseEachRight,.js,491,1985-10-26,f8f31ce8197c50e01ffe073be5e329bb95c5dd7f,7636760e396f8b8c43d604a9391af266,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseEvery.js,file,_baseEvery.js,_baseEvery,.js,625,1985-10-26,6e445241a2ceb58e400c619247c7f1d5a9ad76da,37ae9a37abfc533723f684cecccfd943,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseExtremum.js,file,_baseExtremum.js,_baseExtremum,.js,897,1985-10-26,931adb7b69f0e4683324797c8522f4f6c9ad6321,1742a5c54ca6b6bde1ba47209a54389d,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseFill.js,file,_baseFill.js,_baseFill,.js,843,1985-10-26,474427d0d470b473ac37456e9ba151a966b2ade7,18b23523749e836ee3dfd3f6ee6cf4c8,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseFilter.js,file,_baseFilter.js,_baseFilter,.js,590,1985-10-26,aa90047b0a1231f770807422c67a36a4c3524365,9c3870dbcae7312af6682074df188791,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseFindIndex.js,file,_baseFindIndex.js,_baseFindIndex,.js,766,1985-10-26,a6811f11035fd20ebedd10b014566614f1fee155,689b12caa47aa0d5c9968d04cc4de280,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseFindKey.js,file,_baseFindKey.js,_baseFindKey,.js,747,1985-10-26,dc99c1f56a9a4559ae3fc9f3dbd7f8cfac677949,5a3a460194cd564e32a3d311b0062d5f,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseFlatten.js,file,_baseFlatten.js,_baseFlatten,.js,1201,1985-10-26,045ce95760998450c806995fd49db7ce8fd96982,8f3a69900ef4a1075d25fef1e331edc3,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseFor.js,file,_baseFor.js,_baseFor,.js,593,1985-10-26,6d4e2744c99f75df073ca2e005317feea00533f6,a8f1a07ee65b88eb5d665adebdb2302b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseForOwn.js,file,_baseForOwn.js,_baseForOwn,.js,456,1985-10-26,8977ba022a8d144093f35c729822e6161d5fd291,1b7bf3b458dce2f033b2cc27841ef1f1,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/lodash-4.17.11.tgz-extract/package/_baseForOwnRight.js,file,_baseForOwnRight.js,_baseForOwnRight,.js,486,1985-10-26,29a6ce1c8ff0893a7a5021a5b54d3303dc7e9ef5,682f048c044222a951fdd92e7b4c3745,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
