Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,copyright,start_line,end_line,copyright_holder,author
/moin.nupkg-extract/,directory,moin.nupkg-extract,moin.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,5,5,3790322,,,,,,
/moin.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,448,2016-02-20,a8d8c1df5764a9560a3e1e7fd2d6e9dc63211631,ea2003fcc6db19fb7a54b2c3fae5ed07,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/moin.nupkg-extract/moin.nuspec,file,moin.nuspec,moin,.nuspec,921,2016-02-20,ef1a96e4e47238d218e03a051d212f333b351165,287ef897120518dbe9254b40c20a379b,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,
/moin.nupkg-extract/moin.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright 2016 Tag1 Tag2,14,14,,
/moin.nupkg-extract/moin.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Tag1 Tag2,
/moin.nupkg-extract/nuget.exe,file,nuget.exe,nuget,.exe,3787952,2016-02-20,56de2b3f051ef6d114ad71ece4ceb5330fe44e0e,1e0f14fdbc11c22280ed1bebc610fbf0,application/x-dosexec,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright EffectivePath SourcePath,29243,29243,,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright GetProperty EvaluatedValue,32754,32754,,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright SpecCommandFileExists SpecCommandCreatedNuSpec,32878,32878,,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,29243,29243,EffectivePath SourcePath,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,32754,32754,GetProperty EvaluatedValue,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,32878,32878,SpecCommandFileExists SpecCommandCreatedNuSpec,
/moin.nupkg-extract/nuget.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,11807,11807,,Owners IconUrl
/moin.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,489,,,,,,
/moin.nupkg-extract/_rels/.rels,file,.rels,.rels,,489,2016-02-20,e07f29f3776b5689edee51141026cdf24a7bc5ba,4d6f249465e59b82c38da449e90ec63e,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,
/moin.nupkg-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,3,512,,,,,,
/moin.nupkg-extract/package/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,2,512,,,,,,
/moin.nupkg-extract/package/services/metadata/,directory,metadata,metadata,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,512,,,,,,
/moin.nupkg-extract/package/services/metadata/core-properties/,directory,core-properties,core-properties,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,512,,,,,,
/moin.nupkg-extract/package/services/metadata/core-properties/ee1abb8a2a954b02ac21e4c2f7f614d9.psmdcp,file,ee1abb8a2a954b02ac21e4c2f7f614d9.psmdcp,ee1abb8a2a954b02ac21e4c2f7f614d9,.psmdcp,512,2016-02-20,c237c35dfec78b3f9d99d2d18ddd36a6961ac0c7,40adfedba51898ef36b525fe11b70485,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,
