Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/pip-18.1.tar.gz-extract/,directory,pip-18.1.tar.gz-extract,pip-18.1.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,363,50,4392695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/,directory,pip-18.1,pip-18.1,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,363,49,4392695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/AUTHORS.txt,file,AUTHORS.txt,AUTHORS,.txt,15880,2018-10-05,b5f925afa13e5a558f0cefa30c8753fde8fa39b1,c71433c3b9703e8a1e0c2ea9363858bc,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/LICENSE.txt,file,LICENSE.txt,LICENSE,.txt,1090,2018-08-13,385e86f54915c2ae448e6d2302fcf67151f5b657,593c6cd9d639307226978cbcae61ad4b,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,3,20,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,,
/pip-18.1.tar.gz-extract/pip-18.1/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Copyright (c) 2008-2018,,
/pip-18.1.tar.gz-extract/pip-18.1/MANIFEST.in,file,MANIFEST.in,MANIFEST,.in,565,2018-08-13,849408645052218bde4956be95dda4feabb778d5,9ce435753461f790c4975c81a3e42bd8,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/NEWS.rst,file,NEWS.rst,NEWS,.rst,79441,2018-10-05,2ad1508e1ae9af30d42877228df81b9c2a363be6,b5acbf5d4d712bf60f6b39c16a0cc186,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/PKG-INFO,file,PKG-INFO,PKG-INFO,,2935,2018-10-05,dc5d0927b88bcef813175f08b342d6afa2a97223,65d79fbb2f49b4a373458b60570c4b31,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,8,8,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,,
/pip-18.1.tar.gz-extract/pip-18.1/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,mit,29.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,56,56,pypi_mit_license.RULE,mit,[u'mit'],False,False,False,True,2-aho,5,5,100.00,29.00,,,
/pip-18.1.tar.gz-extract/pip-18.1/pyproject.toml,file,pyproject.toml,pyproject,.toml,983,2018-09-07,fc929d4fbf77997a7bd60f4fb885759d1154a49f,f5da68e7968c2d33f10934616de0d231,text/x-c++,"C++ source, ASCII text",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/README.rst,file,README.rst,README,.rst,1483,2018-08-13,bfbf323098624ccd1f90c34b7986d8d7ca512bfc,ddfa1ae38fafe43f9cbf9f394c55b7be,text/plain,ASCII text,,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/setup.cfg,file,setup.cfg,setup,.cfg,609,2018-10-05,d368908020ec7699e80669f5de498b6dd5cb428c,a9c0a25fbde8fca9481c33ce2bfe01c6,text/plain,ASCII text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/setup.py,file,setup.py,setup,.py,2591,2018-09-06,2bf194b85cb79f89f6eb5680fbdefcd07d290147,b238e2146e39dd73c1de03eaf1d2d507,text/plain,ASCII text,Python,False,True,False,False,True,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/setup.py,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,39,39,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,,
/pip-18.1.tar.gz-extract/pip-18.1/setup.py,,,,,,,,,,,,,,,,,,,,,,,,,,mit,29.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,43,43,pypi_mit_license.RULE,mit,[u'mit'],False,False,False,True,2-aho,5,5,100.00,29.00,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/,directory,docs,docs,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,41,5,120185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/pip_sphinxext.py,file,pip_sphinxext.py,pip_sphinxext,.py,3381,2018-09-07,8632d8814f4b5382d817898dd35f8d02311cc65c,f626777334758a7c48fe4b9e433caceb,text/plain,"Python script, ASCII text executable",Python,False,True,False,False,True,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/,directory,html,html,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,27,2,113644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/conf.py,file,conf.py,conf,.py,8771,2018-09-07,6f6130d6d33ed95f362dee90dc96c6dba52acb5b,a7803e21a333a3093d111ae125ad7087,text/plain,ASCII text,Python,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/conf.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,,,,,,,,,,,,,"copyright 2008-2017, PyPA",,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/conf.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,,,,,,,,,,,,,,PyPA,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/cookbook.rst,file,cookbook.rst,cookbook,.rst,112,2018-09-07,6f570a07e221dd29a80efc6032dc9279314792de,567f52e5a8230dfca1df023b2a6d6cbd,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/index.rst,file,index.rst,index,.rst,503,2018-09-07,acf4ec2835ee71dcd23b5839c07f5cc516a450d2,711a5db26cdf1ef817972ba51c1efc22,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/installing.rst,file,installing.rst,installing,.rst,3840,2018-09-30,e6646a43b07489e1d7133330e28d4d55441b7b58,0fe63a399909dea1bf32ebe8b2dd69fe,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/logic.rst,file,logic.rst,logic,.rst,139,2018-09-07,a878b9f0afd8d2bae2fc897330b8c3a079be1095,06be713f64cec7e4b74c6dee95318248,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/news.rst,file,news.rst,news,.rst,71,2018-09-07,6269e8a64e1b1cbf2711bd9ced310722015d0d0a,879b17699f57ee29ac86fd090007844d,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/quickstart.rst,file,quickstart.rst,quickstart,.rst,1241,2018-09-07,605d8765a81273e8974d5a0f09bec42d00542cde,22917178ef966dfff8281d07f531b933,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/usage.rst,file,usage.rst,usage,.rst,122,2018-09-07,1da67b90a477803ea1ec354dfa35e6d9fadff94e,6cf01cd9654f4cdb9c6f88058095a70d,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/user_guide.rst,file,user_guide.rst,user_guide,.rst,26051,2018-09-07,6d4b01987dac8d7a9f4cf08788731b879f66ea7c,0a86b034a71b5ffe2b9813cb222925c9,text/plain,ASCII text,Python,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/,directory,development,development,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,5,0,19060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/configuration.rst,file,configuration.rst,configuration,.rst,143,2018-09-07,95814b8321256deff1f447d10e37b8b9e0e04785,60423cdddebb03c35baf5078414d00e3,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/contributing.rst,file,contributing.rst,contributing,.rst,10052,2018-09-07,4e6cac59b1e915b66cef1e657aefea80f0cd5233,b0e61b8e3256d1720ad88b559b9bed22,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/contributing.rst,,,,,,,,,,,,,,,,,,,,,,,,,,mit,23.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,15,16,mit_88.RULE,mit,[u'mit'],False,False,True,False,2-aho,4,4,100.00,23.00,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/getting-started.rst,file,getting-started.rst,getting-started,.rst,3447,2018-09-26,2c46e4878e199b39823566d4690a591b59f4ff2d,f3ef07621d501b496f401bcff5f1eab2,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/index.rst,file,index.rst,index,.rst,795,2018-09-07,d908a34fc26237ca27917282613de0df33530693,760561aec2cf9f02e8b528e07ada94d1,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/development/release-process.rst,file,release-process.rst,release-process,.rst,4623,2018-09-07,b1ad4621f151b20c04755e8a4436dcdb05e089f0,26a56471077cfb22ceae5b6f0743eb22,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/,directory,reference,reference,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,13,0,53734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/index.rst,file,index.rst,index,.rst,238,2018-09-07,136bce39ec793b86043a7f27c6ce7cba8d38c6a5,5c5b27721432d4158717a11ce89080e2,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/pip.rst,file,pip.rst,pip,.rst,7798,2018-09-07,e64d79f92c94022856d4755d608480518391fdfb,2a2b9370f5d90d5e693d62ae94745ad0,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/pip_check.rst,file,pip_check.rst,pip_check,.rst,598,2018-09-07,fa47583a94c9ff0f169472569c6e9cc2a9f5266f,bf150a9401439b2304de981a7b659f79,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/pip_config.rst,file,pip_config.rst,pip_config,.rst,215,2018-09-07,ec5e5de4339111bb56f7d971498c40628b4d7241,662fcf5f646077e981fc70dc8989dd87,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/pip_download.rst,file,pip_download.rst,pip_download,.rst,3477,2018-09-07,0a6f83880fa4a99c49871287fba5c990be552c39,0955cf40c66209c35b32dfb7a3049655,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pip-18.1.tar.gz-extract/pip-18.1/docs/html/reference/pip_freeze.rst,file,pip_freeze.rst,pip_freeze,.rst,602,2018-09-07,30f9e16ad937c00b0400086b63b9daed4175dad3,98833935d12db5f7aa117a94c0900a02,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
