Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/python-dateutil-2.7.3.tar.gz-extract/,directory,python-dateutil-2.7.3.tar.gz-extract,python-dateutil-2.7.3.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,467,35,1462875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/,directory,python-dateutil-2.7.3,python-dateutil-2.7.3,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,467,34,1462875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/.travis.yml,file,.travis.yml,.travis,.yml,477,2018-04-19,f89a195bad0465da03380d300cf340a2f52af949,1d91f7e296fb41b778335eb10e782670,text/plain,ASCII text,ActionScript 3,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/appveyor.yml,file,appveyor.yml,appveyor,.yml,1271,2018-04-19,bc373d345c1a3b19fb7b296a90f323ba6f130853,0d7f4fd97af13435f9187def5b955877,text/plain,ASCII text,Python,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/AUTHORS.md,file,AUTHORS.md,AUTHORS,.md,4651,2018-05-09,f7c2fa3b42e471ce4572b429875d9de8278d5486,8776e22e8574e0e79fe0dd9b0eb73cc2,text/plain,"UTF-8 Unicode text, with very long lines",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/AUTHORS.md,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-new,17.00,BSD-3-Clause,BSD-3-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/BSD-3-Clause,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-new,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause,5,5,bsd-new_10.RULE,bsd-new,[u'bsd-new'],False,False,True,False,2-aho,3,3,100.00,17.00,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/AUTHORS.md,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,50.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,7,7,spdx_license_id_apache-2.0_for_apache-2.0.RULE,apache-2.0,[u'apache-2.0'],False,False,True,False,2-aho,3,3,100.00,50.00,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/AUTHORS.md,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-new,17.00,BSD-3-Clause,BSD-3-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/BSD-3-Clause,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-new,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause,7,7,bsd-new_10.RULE,bsd-new,[u'bsd-new'],False,False,True,False,2-aho,3,3,100.00,17.00,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/AUTHORS.md,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,50.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,8,8,spdx_license_id_apache-2.0_for_apache-2.0.RULE,apache-2.0,[u'apache-2.0'],False,False,True,False,2-aho,3,3,100.00,50.00,,,
/python-dateutil-2.7.3.tar.gz-extract/python-dateutil-2.7.3/AUTHORS.md,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,50.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,97,97,spdx_license_id_apache-2.0_for_apache-2.0.RULE,apache-2.0,[u'apache-2.0'],False,False,True,False,2-aho,3,3,100.00,50.00,,,
