Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/rspec-3.8.0.gem-extract/,directory,rspec-3.8.0.gem-extract,rspec-3.8.0.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,12,5,13066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,267,2018-08-04,7e829ba8e365248e5038c8db16cbf9935c4cef64,aaddccf722a95bf8470ce2611c34f421,application/x-gzip,"gzip compressed data, last modified: Sat Aug 4 19:45:49 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/checksums.yaml.gz.sig,file,checksums.yaml.gz.sig,checksums.yaml.gz,.sig,512,2018-08-04,cd0d391b9fa966a5ccd93e5558a61def2b375f6c,f2ca5082b2b1d6d32a1137d37a57f4a5,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,1551,2018-08-04,b4c6b0d87d15932bc1130c1ff068dfd3349326f8,dfbc7ebf82b03ab7fd36e8fd5dc04171,application/x-gzip,"gzip compressed data, last modified: Sat Aug 4 19:45:49 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/data.tar.gz.sig,file,data.tar.gz.sig,data.tar.gz,.sig,512,2018-08-04,9ee5230cfaf33b3946e4d753503cdbc64f7af5bd,75100d5c97eaf54e1f04e8f51447e269,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,2212,2018-08-04,fbb4806544b22b974e68b2757b2f3692a2fcdc96,5d98943979df07fb7b68f53b1b69bc92,application/x-gzip,"gzip compressed data, last modified: Sat Aug 4 19:45:49 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/metadata.gz.sig,file,metadata.gz.sig,metadata.gz,.sig,512,2018-08-04,e19daef6bad601ac6d067914f047b5bdce509761,ae07d05831c482de80c544bdc76db5a1,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,418,2018-10-24,6a5ec49dcd439aea359c19f140c2132e7d5ce918,1428336763569c6daa29339bd9e6008a,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-3.8.0.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,4,2,2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
