Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/six-1.11.0.tar.gz-extract/,directory,six-1.11.0.tar.gz-extract,six-1.11.0.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,16,3,123978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/,directory,six-1.11.0,six-1.11.0,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,16,2,123978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/CHANGES,file,CHANGES,CHANGES,,7970,2017-09-17,37291cfb01760d90f9c5197276e2a4a2105ac40c,4bcbb10a9a79d115098b6e7d053f41c7,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/LICENSE,file,LICENSE,LICENSE,,1066,2017-09-17,5a09fe8ab2f714dc1fa204fc261eceb8d82962e8,35cec5bf04dd0820d0a18533ea7c774a,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,3,18,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Copyright (c) 2010-2017 Benjamin Peterson,,
/six-1.11.0.tar.gz-extract/six-1.11.0/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,Benjamin Peterson,
/six-1.11.0.tar.gz-extract/six-1.11.0/MANIFEST.in,file,MANIFEST.in,MANIFEST,.in,114,2017-09-17,7b707881588a9e17c754ef1379f5def67e2e6fdf,046bbf44865db9479a8be1340b50f836,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/PKG-INFO,file,PKG-INFO,PKG-INFO,,1818,2017-09-17,07370c059da270a9e302caab5f9ae8b2061a2ead,94ca95280a5569328d4d04d0040183d6,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/six-1.11.0.tar.gz-extract/six-1.11.0/PKG-INFO,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,8,8,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,,
