Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,copyright,start_line,end_line,copyright_holder,author
/0.1.0.nupkg-extract/,directory,0.1.0.nupkg-extract,0.1.0.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,6,5,339033,,,,,,
/0.1.0.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,507,2016-03-17,f27dab4d07b913630407eaadce40899cd3b75b39,9e722d2e7211bca8c74c84cef16684ab,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/0.1.0.nupkg-extract/MyClassLib1.dll,file,MyClassLib1.dll,MyClassLib1,.dll,196,2016-03-17,477b8833c2680d6f5740c22e3b75c63303d5bfc7,9fbcc4f197731e204363cdf11861da42,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/0.1.0.nupkg-extract/MyClassLib1.dll,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright (c) Microsoft Corporation.,3,3,,
/0.1.0.nupkg-extract/MyClassLib1.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Microsoft Corporation.,
/0.1.0.nupkg-extract/MyLib12.nuspec,file,MyLib12.nuspec,MyLib12,.nuspec,466,2016-03-17,3f5a8e709e5444eeaaa5fbdf1befc06ae4bc497b,0cd4358297269f2906426057818885cf,application/xml,XML document text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,
/0.1.0.nupkg-extract/NuGet.exe,file,NuGet.exe,NuGet,.exe,336896,2016-03-17,5bd95f4709b0de86beeb114da5a789af5c38d07d,29acf8c37533864c6fdbea6d45f1ed4b,application/x-dosexec,"PE32 executable (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,
/0.1.0.nupkg-extract/NuGet.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2450,,Owners IconUrl
/0.1.0.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,492,,,,,,
/0.1.0.nupkg-extract/_rels/.rels,file,.rels,.rels,,492,2016-03-17,c06bf2496571b2f8eae52b98cb68e3d4adad1bf6,38ca70416c5b0b7eff04882f32cdb91d,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,
/0.1.0.nupkg-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,3,476,,,,,,
/0.1.0.nupkg-extract/package/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,2,476,,,,,,
/0.1.0.nupkg-extract/package/services/metadata/,directory,metadata,metadata,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,476,,,,,,
/0.1.0.nupkg-extract/package/services/metadata/core-properties/,directory,core-properties,core-properties,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,476,,,,,,
/0.1.0.nupkg-extract/package/services/metadata/core-properties/4ee8d69283f1426c9bb96bf4e3857011.psmdcp,file,4ee8d69283f1426c9bb96bf4e3857011.psmdcp,4ee8d69283f1426c9bb96bf4e3857011,.psmdcp,476,2016-03-17,c7cb42cd2f4aa1b2e926d1c84b5ac97208cd2b0c,d37d5c7bb4dc962f939d897e6495a43f,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,
