Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors
/1.0.1.nupkg-extract/,directory,1.0.1.nupkg-extract,1.0.1.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,11,6,37267,
/1.0.1.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,409,2016-04-08,810cca6a0abd4396aeb075c04177943eceb34124,51e6f3c9574747ec98b3732c1505b569,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,True,0,0,0,
/1.0.1.nupkg-extract/DynamicaLabs.XrmTools.Testing.nuspec,file,DynamicaLabs.XrmTools.Testing.nuspec,DynamicaLabs.XrmTools.Testing,.nuspec,4069,2016-04-08,0d58c5a23eae04d272da5564511a92673bcc7cd8,904c62090e63d0874e150b93b93f2412,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,
/1.0.1.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,297,
/1.0.1.nupkg-extract/_rels/.rels,file,.rels,.rels,,297,2016-04-08,f902a1476c80896b04a7b2d4c1fa253523b90eb4,b5d6d75a6b3eed30a98fb06945da7f69,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,8,4,32492,
/1.0.1.nupkg-extract/lib/dnx451/,directory,dnx451,dnx451,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,8123,
/1.0.1.nupkg-extract/lib/dnx451/DynamicaLabs.XrmTools.Testing.dll,file,DynamicaLabs.XrmTools.Testing.dll,DynamicaLabs.XrmTools.Testing,.dll,6656,2016-04-08,d9fd69bae52f3fb6c760ac0ae1ebd0b8ee8e45d9,32e64a46ab77d44913709f5857a20c2c,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/dnx451/DynamicaLabs.XrmTools.Testing.xml,file,DynamicaLabs.XrmTools.Testing.xml,DynamicaLabs.XrmTools.Testing,.xml,1467,2016-04-08,f683255b8e923e35a4a00303ff919d2a93f6aed6,a1fd7681bd5b10fb3090f0fb56b7730a,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/net40/,directory,net40,net40,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,8123,
/1.0.1.nupkg-extract/lib/net40/DynamicaLabs.XrmTools.Testing.dll,file,DynamicaLabs.XrmTools.Testing.dll,DynamicaLabs.XrmTools.Testing,.dll,6656,2016-04-08,999cb2658049ad1fdd66f3f9beff34cc29ef95c2,2bfc2160f2863e877a6999add6077597,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/net40/DynamicaLabs.XrmTools.Testing.xml,file,DynamicaLabs.XrmTools.Testing.xml,DynamicaLabs.XrmTools.Testing,.xml,1467,2016-04-08,f683255b8e923e35a4a00303ff919d2a93f6aed6,a1fd7681bd5b10fb3090f0fb56b7730a,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/net45/,directory,net45,net45,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,8123,
/1.0.1.nupkg-extract/lib/net45/DynamicaLabs.XrmTools.Testing.dll,file,DynamicaLabs.XrmTools.Testing.dll,DynamicaLabs.XrmTools.Testing,.dll,6656,2016-04-08,d14ff9399f01332a3f01f4f8aeb4efb909599403,553123f8dabfddba7c902a2a8c057624,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/net45/DynamicaLabs.XrmTools.Testing.xml,file,DynamicaLabs.XrmTools.Testing.xml,DynamicaLabs.XrmTools.Testing,.xml,1467,2016-04-08,f683255b8e923e35a4a00303ff919d2a93f6aed6,a1fd7681bd5b10fb3090f0fb56b7730a,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/net46/,directory,net46,net46,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,8123,
/1.0.1.nupkg-extract/lib/net46/DynamicaLabs.XrmTools.Testing.dll,file,DynamicaLabs.XrmTools.Testing.dll,DynamicaLabs.XrmTools.Testing,.dll,6656,2016-04-08,f17b54a033c6771150050252eee0bb3ee8810578,562bb32e6c47a2730d9123b806a8e9c0,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,
/1.0.1.nupkg-extract/lib/net46/DynamicaLabs.XrmTools.Testing.xml,file,DynamicaLabs.XrmTools.Testing.xml,DynamicaLabs.XrmTools.Testing,.xml,1467,2016-04-08,f683255b8e923e35a4a00303ff919d2a93f6aed6,a1fd7681bd5b10fb3090f0fb56b7730a,application/xml,XML document text,,False,True,False,False,False,False,False,False,False,False,0,0,0,
