Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/async-2.6.1.tgz-extract/,directory,async-2.6.1.tgz-extract,async-2.6.1.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,133,3,540920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,133,2,540920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/all.js,file,all.js,all,.js,1680,1985-10-26,7a3ae606f136233af21a366384dfe76388a21475,38601f7cd8af53ed84639a6f9fec7cde,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/allLimit.js,file,allLimit.js,allLimit,.js,1545,1985-10-26,778f8cfb8ff2abe79847ca59bc233beec13a9217,ebd8f6c8ec8868c2bef47b001b679c88,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/allSeries.js,file,allSeries.js,allSeries,.js,1275,1985-10-26,2d2a838f863e1bf9988a77b1a4dfa39cde3b0211,852b3f08ff94e2ca6d2711b576d796d3,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/any.js,file,any.js,any,.js,1758,1985-10-26,6a122c731d362a85a60b64c89a317b438e1be9a6,af01681ae07f24f06462a66d4cf00029,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/anyLimit.js,file,anyLimit.js,anyLimit,.js,1592,1985-10-26,a7a727440eaa824509762028f3990982142731bd,4c62bb946f557c9913c0e5070596c1f4,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/anySeries.js,file,anySeries.js,anySeries,.js,1314,1985-10-26,a6e3823710a80019548a8a7d2ef108026336eefa,2983cd72ee7c4b943966010bc2ec2699,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/apply.js,file,apply.js,apply,.js,1843,1985-10-26,4ec9372bd44813bb1f6528c08f54b38b041d6f51,c51ed2c52f5ff3b47608c31acf8af766,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/async-2.6.1.tgz-extract/package/applyEach.js,file,applyEach.js,applyEach,.js,1779,1985-10-26,bc9ecf9d4fadb3608e30712fe8682422ed989604,28962c4eec647cbd2ba5f4895f04e2f9,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
