Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/commander-2.19.0.tgz-extract/,directory,commander-2.19.0.tgz-extract,commander-2.19.0.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,6,2,61383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,6,1,61383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/CHANGELOG.md,file,CHANGELOG.md,CHANGELOG,.md,10679,1985-10-26,466af0afa0ca4e4765435bcc33f06e073d785397,c61e06abef3887dd72a1284138d4ba3e,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/index.js,file,index.js,index,.js,28029,1985-10-26,761939870e0b3a07dcbec07a5f72a68c18cd716d,6f78464cf3227934e2a882e319153b45,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/LICENSE,file,LICENSE,LICENSE,,1098,1985-10-26,63513188251d15fcdc716703fbee89be4a3a20e6,25851d4d10d6611a12d5571dab945a00,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,97.66,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,1,22,mit_160.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,167,100.00,100.00,,
/commander-2.19.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,Copyright (c) 2011 TJ Holowaychuk <tj@vision-media.ca>,
/commander-2.19.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,TJ Holowaychuk
/commander-2.19.0.tgz-extract/package/package.json,file,package.json,package,.json,865,1985-10-26,21a806f0e7674cc5d9b3d22a4061706fe0de1088,b35727756a7cd730832ad87704f8c7f4,text/plain,ASCII text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/package.json,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,12,12,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,
/commander-2.19.0.tgz-extract/package/Readme.md,file,Readme.md,Readme,.md,12311,1985-10-26,771de610f7190844409912496358b4e749e705ba,3e5c0dd865f501bc992e586f111bf934,text/plain,UTF-8 Unicode text,TypeScript,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/Readme.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,415,417,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,
/commander-2.19.0.tgz-extract/package/typings/,directory,typings,typings,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,8401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commander-2.19.0.tgz-extract/package/typings/index.d.ts,file,index.d.ts,index.d,.ts,8401,1985-10-26,7491fba65836ea8b20861ce730527a9b868bae0c,bb25cb00475067f48569c0fafe443dcc,text/plain,ASCII text,TypeScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
