Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/commons-io-2.6-sources.jar-extract/,directory,commons-io-2.6-sources.jar-extract,commons-io-2.6-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,131,14,1097714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/,directory,META-INF,META-INF,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,5,3,26339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/LICENSE.txt,file,LICENSE.txt,LICENSE,.txt,11359,2017-06-06,5a7d7df655ba40478fae80a6abafc6afc36f9b6a,b1e01b26bacfc2232046c90a330332b3,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,2,202,apache-2.0.LICENSE,apache-2.0,[u'apache-2.0'],True,False,False,False,1-hash,1608,1608,100.00,100.00,,
/commons-io-2.6-sources.jar-extract/META-INF/MANIFEST.MF,file,MANIFEST.MF,MANIFEST,.MF,449,2017-10-15,cbe4322143870359e8499896371ec2e9f5fa70eb,4babdfee836c3344b4a50829c8b89a37,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/NOTICE.txt,file,NOTICE.txt,NOTICE,.txt,171,2017-10-14,d902e0804169259c726d14b05fd91fea2d9bc33e,1efe86c9d488acc929299ce79e66f411,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,82.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,4,5,apache_5.RULE,apache-2.0 OR apache-1.1,"[u'apache-2.0', u'apache-1.1']",False,False,True,False,2-aho,14,14,100.00,82.00,,
/commons-io-2.6-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,apache-1.1,82.00,Apache License 1.1,Apache 1.1,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://apache.org/licenses/LICENSE-1.1,https://enterprise.dejacode.com/urn/urn:dje:license:apache-1.1,Apache-1.1,https://spdx.org/licenses/Apache-1.1,4,5,apache_5.RULE,apache-2.0 OR apache-1.1,"[u'apache-2.0', u'apache-1.1']",False,False,True,False,2-aho,14,14,100.00,82.00,,
/commons-io-2.6-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,Copyright 2002-2017 The Apache Software Foundation,
/commons-io-2.6-sources.jar-extract/META-INF/NOTICE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,The Apache Software Foundation
/commons-io-2.6-sources.jar-extract/META-INF/maven/,directory,maven,maven,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,2,14360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/maven/commons-io/,directory,commons-io,commons-io,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,1,14360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/maven/commons-io/commons-io/,directory,commons-io,commons-io,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,14360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/maven/commons-io/commons-io/pom.properties,file,pom.properties,pom,.properties,104,2017-10-15,03a0e4fe3e841627eac5c3d7642f5bc4e8eaa401,ab356c7cd31e550b9b17797662c06316,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/maven/commons-io/commons-io/pom.xml,file,pom.xml,pom,.xml,14256,2017-10-15,5060835593e5b6ed18c82fc2e782f0a3c30a00b1,142e515fa628cd8379aaac94ab237a8c,application/xml,XML document text,,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/META-INF/maven/commons-io/commons-io/pom.xml,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,3,16,apache-2.0_12.RULE,apache-2.0,[u'apache-2.0'],False,True,False,False,2-aho,120,120,100.00,100.00,,
/commons-io-2.6-sources.jar-extract/org/,directory,org,org,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,126,9,1071375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/org/apache/,directory,apache,apache,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,126,8,1071375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/org/apache/commons/,directory,commons,commons,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,126,7,1071375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/org/apache/commons/io/,directory,io,io,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,126,6,1071375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/commons-io-2.6-sources.jar-extract/org/apache/commons/io/ByteOrderMark.java,file,ByteOrderMark.java,ByteOrderMark,.java,5861,2017-06-06,7f4bdae455a13e0a1f0dc68bb4a9a22b0ff9c2e0,d7a24feeaae20c590349e487c6f3a12d,text/html,"HTML document, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
