Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/diff-lcs-1.3.gem-extract/,directory,diff-lcs-1.3.gem-extract,diff-lcs-1.3.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,42,11,213657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,266,2017-01-18,760b7fef9e98467fff7ccf7d8a7a0f7399963a7d,44d0557d45b105c4cfd5afd9b151ca72,application/x-gzip,"gzip compressed data, last modified: Wed Jan 18 23:44:12 2017, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,41217,2017-01-18,7cd7569297e671da52b753db36ad4128d109fddf,318cb98a56970415c6658c470789d615,application/x-gzip,"gzip compressed data, last modified: Wed Jan 18 23:44:12 2017, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,1232,2017-01-18,9eaea5f8fa364e74d93c2721fd6cb20c6fa9d65e,188b592f86ebcccaf363951e92f1d0f7,application/x-gzip,"gzip compressed data, last modified: Wed Jan 18 23:44:12 2017, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,418,2018-10-24,d3be8f43fea5a3f76a64c62ef7bd49994bdddfd5,a07caa21bec8825f97df405aa8fb78a4,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,37,8,164517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/data.tar.gz-extract/.rspec,file,.rspec,.rspec,,9,2017-01-18,da0b9151abeb59a9e09024ae063bc17a88d9e31a,a44e95bea73a078e43dfe74b43683a83,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/data.tar.gz-extract/Code-of-Conduct.md,file,Code-of-Conduct.md,Code-of-Conduct,.md,3230,2017-01-18,46111c0f39c364843c020005bf1ecae247acf4d7,52d0cea72962b941a1c2155b2e151511,text/plain,ASCII text,Objective-C,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/diff-lcs-1.3.gem-extract/data.tar.gz-extract/Contributing.md,file,Contributing.md,Contributing,.md,2689,2017-01-18,84b560fe41c0a40811f666ae3d628976bc6f1704,6d3806a95ea352245a53aff80ba2ce6e,text/plain,UTF-8 Unicode text,Perl6,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
