Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author,start_line,end_line,copyright,copyright_holder
/fs-extra-7.0.0.tgz-extract/,directory,fs-extra-7.0.0.tgz-extract,fs-extra-7.0.0.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,60,16,148793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/fs-extra-7.0.0.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,60,15,148793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/fs-extra-7.0.0.tgz-extract/package/CHANGELOG.md,file,CHANGELOG.md,CHANGELOG,.md,60898,2018-07-17,ba9e97e78a9133b66e5ff62fa363a6304fb4a8ce,644ea22441d48c2f64ef0e9d8cfd1639,text/plain,"UTF-8 Unicode text, with very long lines",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/fs-extra-7.0.0.tgz-extract/package/CHANGELOG.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017. - BREAKING Remove,141,141,,
/fs-extra-7.0.0.tgz-extract/package/LICENSE,file,LICENSE,LICENSE,,1084,2018-01-10,dd164bc611bca7ba8ead40ec4c2851081e5a16b9,ea817882455c03503f7d014a8f54f095,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/fs-extra-7.0.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,97.66,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit_160.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,167,100.00,100.00,,1,15,,
/fs-extra-7.0.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Copyright (c) 2011-2017 JP Richardson,
/fs-extra-7.0.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,JP Richardson
/fs-extra-7.0.0.tgz-extract/package/package.json,file,package.json,package,.json,1679,2018-07-17,f1136ccdab8ab095b4ae5c9bab6c3fff477ab928,fe3a9123037aa4ec57bb299c4d6fbd63,text/plain,ASCII text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/fs-extra-7.0.0.tgz-extract/package/package.json,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,37,37,,
/fs-extra-7.0.0.tgz-extract/package/README.md,file,README.md,README,.md,9774,2018-07-17,a07e4b82b558a8b6e5b07789ae78fdf2c5b46d31,19fd3e233602a3cc0da93bd2dd324507,text/plain,"ASCII text, with very long lines",Objective-C,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/fs-extra-7.0.0.tgz-extract/package/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,17.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit_172.RULE,mit,[u'mit'],False,False,True,False,2-aho,3,3,100.00,17.00,,254,254,,
