Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/multi_json-1.13.1.gem-extract/,directory,multi_json-1.13.1.gem-extract,multi_json-1.13.1.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,30,7,75335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,269,2018-01-10,c3555bb71e1cc2d977608c56c5ebdfc3b4aaa679,b80ddefbd258680b2e88ead5908818c3,application/x-gzip,"gzip compressed data, last modified: Wed Jan 10 21:10:09 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/checksums.yaml.gz.sig,file,checksums.yaml.gz.sig,checksums.yaml.gz,.sig,256,2018-01-10,2b6ff2ead6e119d89b5cd8b56cfb0ccd8fafa473,0135365d8c2e7c982a77322ffef29522,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,17372,2018-01-10,f25d7e5f1f290a8c0b37e3346e6ea62639feb996,bb52cb2e441302b90dec30cc3196ca9f,application/x-gzip,"gzip compressed data, last modified: Wed Jan 10 21:10:09 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/data.tar.gz.sig,file,data.tar.gz.sig,data.tar.gz,.sig,256,2018-01-10,48a3da4db0b8cc7de1c06f1505bf992bd467aa54,cb98b28832ea97cb20adfe59209f3941,application/octet-stream,data,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,1766,2018-01-10,1b1089ce9b52b1a5bd0685e39d5b7ec690d181a6,71052a32f5520d75f6cfe215020d87dc,application/x-gzip,"gzip compressed data, last modified: Wed Jan 10 21:10:09 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/metadata.gz.sig,file,metadata.gz.sig,metadata.gz,.sig,256,2018-01-10,c571e5125926b6da058a03d477c9c0e393a128a3,ef9f2a75da7e17514f594a91d3673bed,application/octet-stream,data,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,418,2018-10-24,66e9851c6fc6ea7bcec4b7cc4c5b016a89c899d3,36efded28b53db9713fd53ac46b21ef0,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/multi_json-1.13.1.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,22,4,51195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
