Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,copyright_holder,author
/nunit-3.10.1.tar.gz.nupkg-extract/,directory,nunit-3.10.1.tar.gz.nupkg-extract,nunit-3.10.1.tar.gz.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,800,62,4786905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/,directory,nunit-3.10.1,nunit-3.10.1,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,800,61,4786905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/.editorconfig,file,.editorconfig,.editorconfig,,3802,2018-03-13,c1907fa1b259312a7ed781edcb9e58f1b29f3c13,eebdb255ee9e12e0a1a0da0a247af068,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/.travis.yml,file,.travis.yml,.travis,.yml,826,2018-03-13,ec0b5dd3cbb0e9712d3a81a5f3844c2f018c63f0,f108cfee52cac139415d069ece39cfa7,text/plain,ASCII text,ActionScript 3,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/appveyor.yml,file,appveyor.yml,appveyor,.yml,403,2018-03-13,ae86dad66e1bbf69d47e544c1b4679b32a8e3ce3,ac43f9944386f602401fd5911c243b37,text/plain,ASCII text,ActionScript 3,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/build,file,build,build,,39,2018-03-13,ed37a7ccbc82664914197172aebf326fb9de9283,0d10a9cd160619e4700d78fd7b992031,text/x-shellscript,"Bourne-Again shell script, ASCII text executable",Bash,False,True,False,False,True,True,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/build-extract/,directory,build-extract,build-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/build-mono-docker.ps1,file,build-mono-docker.ps1,build-mono-docker,.ps1,328,2018-03-13,07b94b6a4ce72d1599556852472e4506a9113f69,f5dd357605b8dee7ed76a28cee7d7b4b,text/plain,ASCII text,PowerShell,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/build.cake,file,build.cake,build,.cake,17553,2018-03-13,e3c8e07f097768b9615b3bc9cf3a8f4945ea2b76,b424433c2799971f2038566197944b99,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/build.cmd,file,build.cmd,build,.cmd,48,2018-03-13,0272fd9a45a71e698d4414bde95aa2a276322621,db627820b2bd66a1ab8b1a4bf881b02c,text/x-msdos-batch,"DOS batch file, ASCII text",Batchfile,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
