Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/rake-12.3.1.gem-extract/,directory,rake-12.3.1.gem-extract,rake-12.3.1.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,70,12,351527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,298,2018-03-22,a33d04db239ff2461f99e721629d4495b9ef4fd0,17f4efc35f4e0e26825f30d8489a30d5,application/x-gzip,"gzip compressed data, last modified: Thu Mar 22 04:46:32 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,80368,2018-03-22,804560382a65e692fc8cc4e7009f11c8a41b6487,3fa60ea64100fafaf7782898e5da1311,application/x-gzip,"gzip compressed data, last modified: Thu Mar 22 04:46:32 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,1371,2018-03-22,3a22bc75de9e43d18f1f9985fffcbfa975ca8fb4,f3050206cbfac1c829929282b6982eba,application/x-gzip,"gzip compressed data, last modified: Thu Mar 22 04:46:32 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,468,2018-10-24,3861724bda8492651f6929c8c250f9e0d4bdfb0e,826210416beb3104b0fcd9c21811ed3d,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,65,9,264112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/data.tar.gz-extract/CONTRIBUTING.rdoc,file,CONTRIBUTING.rdoc,CONTRIBUTING,.rdoc,1097,2018-03-22,270cbf616f105b15a9c82d81e5b7ea8aae7bf513,770014327761bedb2c3cc853433e1e67,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/data.tar.gz-extract/Gemfile,file,Gemfile,Gemfile,,39,2018-03-22,238169a6381c9a96cfa5707613c355eb828ffaef,2dacb7588b65ffe6d5ce303d51dd3a8f,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rake-12.3.1.gem-extract/data.tar.gz-extract/History.rdoc,file,History.rdoc,History,.rdoc,70537,2018-03-22,46bd2dc2f4e9de6a0ff70c2ff5a1fcfbf6e7b8ff,0a3ff9777f78d17c49d66efc61898622,text/x-ruby,"Ruby script, UTF-8 Unicode text",,False,True,False,False,True,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
