Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/request-2.88.0.tgz-extract/,directory,request-2.88.0.tgz-extract,request-2.88.0.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,17,2,206894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,17,1,206894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/CHANGELOG.md,file,CHANGELOG.md,CHANGELOG,.md,68418,1985-10-26,c19e990e25828536705fd6d8c6db4410380201b4,83dbf09094e625bddf4bdb8a9c76c99b,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/index.js,file,index.js,index,.js,3974,1985-10-26,c62c4d3004ac33bfd8e85d9545814592701ed0f8,315e58d4f8fa1bc0c64bcb51d3e0ced5,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/index.js,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,3,13,apache-2.0_7.RULE,apache-2.0,[u'apache-2.0'],False,True,False,False,2-aho,86,86,100.00,100.00,,
/request-2.88.0.tgz-extract/package/index.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Copyright 2010-2012 Mikeal Rogers,
/request-2.88.0.tgz-extract/package/index.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,Mikeal Rogers
/request-2.88.0.tgz-extract/package/LICENSE,file,LICENSE,LICENSE,,9140,1985-10-26,05979f0750cf5c2a17bd3aa12450849c151d8b7c,f3f8ead5440d1c311b45be065d135d90,text/plain,"ASCII text, with very long lines",,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,1,55,apache-2.0_17.RULE,apache-2.0,[u'apache-2.0'],False,True,False,False,1-hash,1427,1427,100.00,100.00,,
/request-2.88.0.tgz-extract/package/package.json,file,package.json,package,.json,2084,1985-10-26,d170001e680d8854551f3a91084c09bfdce758f4,d4e388ff3f738d272cfd0e554e237663,text/plain,ASCII text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/package.json,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,23.00,Apache License 2.0,Apache 2.0,Permissive,False,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,19,19,apache-2.0_65.RULE,apache-2.0,[u'apache-2.0'],False,False,True,False,2-aho,4,4,100.00,23.00,,
/request-2.88.0.tgz-extract/package/README.md,file,README.md,README,.md,44615,1985-10-26,094c96f0a70ddd62d7a13a9ad6bfaac0d25f8dab,4016411fa46bc725a159167a33fc7478,text/plain,"UTF-8 Unicode text, with very long lines",Objective-C,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/request.js,file,request.js,request,.js,44512,1985-10-26,3343f046367cfa3bba73eb3f40c628342f17c7db,daa13711ec11b1ce5d2ebdf2940a1825,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,11,0,34151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/lib/auth.js,file,auth.js,auth,.js,4774,1985-10-26,959043ff806795ed9801f509c4bff077231e0fd7,d085270881b916c76a6e6c2d6c189eff,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/lib/cookies.js,file,cookies.js,cookies,.js,974,1985-10-26,f43e796e4f8388308df04ec93dcb9b5f8b1a36c4,6e997b69edf2ce2e30fd6e6ea0bef33e,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/lib/getProxyFromURI.js,file,getProxyFromURI.js,getProxyFromURI,.js,2241,1985-10-26,9ba23efd9897fa29c71684461903bc935bbf43c4,4774c6032f3d3699981692a8f7c01b3f,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/request-2.88.0.tgz-extract/package/lib/har.js,file,har.js,har,.js,4806,1985-10-26,62a20877d776f39a5055e0579ffeb04c791d1c53,e31d1b8e62900a5c2f677f86a65af7ff,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
