Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author,start_line,end_line,copyright,copyright_holder
/rspec-expectations-3.8.2.gem-extract/,directory,rspec-expectations-3.8.2.gem-extract,rspec-expectations-3.8.2.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,61,8,391067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,295,2018-10-09,6f5fc4b4ab2750e56ccd962592b495cb91165d24,6ab8a582c0e55a466f0ec62329371931,application/x-gzip,"gzip compressed data, last modified: Tue Oct 9 20:42:24 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/checksums.yaml.gz.sig,file,checksums.yaml.gz.sig,checksums.yaml.gz,.sig,512,2018-10-09,36eca03aa1f797fe9c927dc6549cb2d958b2e97a,33396637ceba1231a581f18e27a2e243,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,72621,2018-10-09,ba0b87ef7dd498c3d7798e7da76e30597d0ec4bf,69f6cb952c503018d6e8588a78852758,application/x-gzip,"gzip compressed data, last modified: Tue Oct 9 20:42:24 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz.sig,file,data.tar.gz.sig,data.tar.gz,.sig,512,2018-10-09,6bb836bdcd53ff487e8038f5208b6ef23102e79c,8b5dc64f89949dccc59b0a1547658bcb,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,2786,2018-10-09,5c7f6d79a3865a6456bb1bd438357fdeef005283,749a3e00941953cac93cf9b02c6a55a6,application/x-gzip,"gzip compressed data, last modified: Tue Oct 9 20:42:24 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/metadata.gz.sig,file,metadata.gz.sig,metadata.gz,.sig,512,2018-10-09,5fe5576e77d78786c70efd7cc76f8085694dce5b,c6b35f09da1e49b5ba8bb47c470fea2b,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,468,2018-10-24,89c4ece8cbdd22fae455f3ef38649ce5e189328e,2a2ed7dc8de44191f10411dab6d92641,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,53,5,305802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/.document,file,.document,.document,,48,2018-10-09,45ea7edcf870b07cf2b13915770d6a1838d5ab70,863fef7bc29e8b95ed200b73158a90d7,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/.yardopts,file,.yardopts,.yardopts,,76,2018-10-09,26223364bc0d7d4a6dad51455e066fc22c5826a7,c8f01d8404becdc7267e05141ff42c48,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/Changelog.md,file,Changelog.md,Changelog,.md,46082,2018-10-09,8be3e145c5d8e33076516a5d13d1d9db6e84b945,10a739cec168b8ba9c2c9a7d80261717,text/plain,UTF-8 Unicode text,Objective-C,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
