Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,author,copyright_holder
/scala-library-2.13.0-M5-sources.jar-extract/,directory,scala-library-2.13.0-M5-sources.jar-extract,scala-library-2.13.0-M5-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,528,30,2663530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/rootdoc.txt,file,rootdoc.txt,rootdoc,.txt,3148,2018-08-28,0cb40d3365ce5638c2a78a867c17fa1e74abe3ee,359008d5ee85ab32d17e2ed020db51e0,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/META-INF/,directory,META-INF,META-INF,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/META-INF/MANIFEST.MF,file,MANIFEST.MF,MANIFEST,.MF,291,2018-08-28,c058c601095a65186895bacc7089f761e5df3b94,d6eb50dfcb2667d42319fea0db706a54,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/,directory,scala,scala,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,526,28,2660091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/AnyVal.scala,file,AnyVal.scala,AnyVal,.scala,2823,2018-08-28,b32dbbae5222582cfbf2470bacf3e8ad9b06748c,7b8d389a172c44d210aa96817950c272,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/AnyVal.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/AnyValCompanion.scala,file,AnyValCompanion.scala,AnyValCompanion,.scala,962,2018-08-28,1ad38ce92a7f16c9de411db1a37212b5bdb0c9c6,aafa0dbc4156f8ccee5954828d687591,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/AnyValCompanion.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/App.scala,file,App.scala,App,.scala,2984,2018-08-28,f4c37b8d9b71ae4b5b571164155e841cdb2fb322,54101b29f8d09ce40468c6b04b9b3492,text/x-c,"C source, UTF-8 Unicode text",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/App.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2010-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/App.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,Martin Odersky,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Array.scala,file,Array.scala,Array,.scala,25089,2018-08-28,2dcd35fc4059777becf599619b8c40547d721471,a865e2079daae5ff62491c8bab0a9109,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Array.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Array.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,Martin Odersky,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Array.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,571,Martin Odersky,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Boolean.scala,file,Boolean.scala,Boolean,.scala,5343,2018-08-28,3acb460fa05937beeaaba1b8f19df5656e1529af,929a512fbaf193c34b7ccd71606b07c2,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Boolean.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Byte.scala,file,Byte.scala,Byte,.scala,17289,2018-08-28,e84894b5e9b5f4c93d57fa09ce103fb1482a2339,55ee33887125e66987b220bcb8597af2,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Byte.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Char.scala,file,Char.scala,Char,.scala,17278,2018-08-28,86218aee6273a5192bcca5a92e66ccc24590e098,4a753fe94d6c823b6f39d6d4e2d6e332,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Char.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Cloneable.scala,file,Cloneable.scala,Cloneable,.scala,670,2018-08-28,260f0d6cbf006c2b7a18ae7079d5d74789819735,1c28687cdbdd3347936d030c1c64a13c,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Cloneable.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Console.scala,file,Console.scala,Console,.scala,9981,2018-08-28,d37c79bd13b62d41925629e67cb0d0a283b2f723,7fd46112edaf22fdec783d281aae7f42,text/html,"HTML document, UTF-8 Unicode text",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Console.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2003-2016,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Console.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,108,Matthias Zenger,
/scala-library-2.13.0-M5-sources.jar-extract/scala/DelayedInit.scala,file,DelayedInit.scala,DelayedInit,.scala,1824,2018-08-28,28c3cd7cb6ee8e309429fcc761f7991f45f6901f,2e78c012fbcbd64bce1bd4e3cee6e4d6,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/DelayedInit.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2010-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/DelayedInit.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,Martin Odersky,
