Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/urllib3-1.24.tar.gz-extract/,directory,urllib3-1.24.tar.gz-extract,urllib3-1.24.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,132,20,908951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/,directory,urllib3-1.24,urllib3-1.24,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,132,19,908951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/CHANGES.rst,file,CHANGES.rst,CHANGES,.rst,29445,2018-10-16,cda9e317d5cdaf51e7dbc7fb4112c3a343f31a8b,e6e6c31a48e564bf85d0e30b912fe07b,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/CONTRIBUTORS.txt,file,CONTRIBUTORS.txt,CONTRIBUTORS,.txt,8997,2018-10-16,fa31da11694ee59c454940708edf3c1aefb4a9f2,1a1291fff7f61454312a369c8eaf7f15,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/dev-requirements.txt,file,dev-requirements.txt,dev-requirements,.txt,278,2018-10-16,62582fb88c55f694a2207252952e5bd549c8977b,821276e9b5a46e61b944b470fa0154ca,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/LICENSE.txt,file,LICENSE.txt,LICENSE,.txt,1175,2018-10-05,33e6493582eea280e7c92c6803e117ae06234c01,ea114851ad9a8c311aac8728a681a067,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,mit,94.57,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,1,19,mit_28.RULE,mit,[u'mit'],True,False,False,False,3-seq,174,174,100.00,100.00,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,Copyright 2008-2016 Andrey Petrov and contributors,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/LICENSE.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,Andrey Petrov and contributors,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/Makefile,file,Makefile,Makefile,,1192,2018-10-05,a764dd26e1ee39d17347a3172b7eeefb0f13cac4,9e0de70f5558b446b7554cce2c5c8199,text/x-makefile,"makefile script, ASCII text",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/MANIFEST.in,file,MANIFEST.in,MANIFEST,.in,204,2018-10-05,4f108099db4d12cb86e987fba95331445e9a8787,639391eab8f5655e4d56a135d9ca8cce,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/urllib3-1.24.tar.gz-extract/urllib3-1.24/PKG-INFO,file,PKG-INFO,PKG-INFO,,42956,2018-10-16,fb37663e098ccc7388a9aa08a1124a8de539760c,aec82cb02568b206be1da59a81f628a8,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
