Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,copyright,start_line,end_line,copyright_holder
/0.9.8.nupkg-extract/,directory,0.9.8.nupkg-extract,0.9.8.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,8,8,15245,,,,,
/0.9.8.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,566,2016-03-15,ed2cc81fd8af828224e0f5fbf8bf6f51a842a633,1fa209bda2e880e2b43e13197f4e43b4,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,
/0.9.8.nupkg-extract/SimpleEventMonitor.Web.nuspec,file,SimpleEventMonitor.Web.nuspec,SimpleEventMonitor.Web,.nuspec,1465,2016-03-15,b06710533c0c2f43f8cf7d7e7518dcef53516c93,0c92f7a3d98e01bdc17d37d840fc9f3c,application/xml,XML document text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,
/0.9.8.nupkg-extract/SimpleEventMonitor.Web.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright 2016 Event Monitor,12,12,
/0.9.8.nupkg-extract/SimpleEventMonitor.Web.nuspec,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,Event Monitor
/0.9.8.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,507,,,,,
/0.9.8.nupkg-extract/_rels/.rels,file,.rels,.rels,,507,2016-03-15,8e8ce03f54eb6d22f6cb88604a8648f22562a813,2deca8e327f35fcf19390bee1c937c0e,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,
/0.9.8.nupkg-extract/content/,directory,content,content,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,3,0,4228,,,,,
/0.9.8.nupkg-extract/content/Index.html,file,Index.html,Index,.html,1882,2016-03-15,74641a6c7554a7af46301c2c3ffaff33edeb539e,ac31da7f3d5662616182097456c0874a,text/html,"HTML document, UTF-8 Unicode (with BOM) text",HTML,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,
/0.9.8.nupkg-extract/content/Startup.cs.pp,file,Startup.cs.pp,Startup.cs,.pp,282,2016-03-15,f1c017d45780515e2fd61211f9eba812c418cf53,94106dabc612e7c06556e2787e12fc85,text/plain,UTF-8 Unicode (with BOM) text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,
/0.9.8.nupkg-extract/content/Table.html,file,Table.html,Table,.html,2064,2016-03-15,4f67044f96bd4b0b16798a6fb23164cb7e3fcde3,bbbd25171ca1a91e3b9e2adfb16f666b,text/html,"HTML document, UTF-8 Unicode (with BOM) text",HTML,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,
/0.9.8.nupkg-extract/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,1,7680,,,,,
/0.9.8.nupkg-extract/lib/net46/,directory,net46,net46,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,7680,,,,,
/0.9.8.nupkg-extract/lib/net46/SimpleEventMonitor.Web.dll,file,SimpleEventMonitor.Web.dll,SimpleEventMonitor.Web,.dll,7680,2016-03-15,71a4e0146232dfe06dde4f9a4599cfe5cc44ddd1,2e04a251d132f461e4f4e78b9db85f3d,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,,,,,
/0.9.8.nupkg-extract/lib/net46/SimpleEventMonitor.Web.dll,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright LegalTrademarks OriginalFilename,152,152,
/0.9.8.nupkg-extract/lib/net46/SimpleEventMonitor.Web.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,152,152,LegalTrademarks OriginalFilename
/0.9.8.nupkg-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,3,799,,,,,
/0.9.8.nupkg-extract/package/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,2,799,,,,,
/0.9.8.nupkg-extract/package/services/metadata/,directory,metadata,metadata,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,799,,,,,
/0.9.8.nupkg-extract/package/services/metadata/core-properties/,directory,core-properties,core-properties,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,799,,,,,
/0.9.8.nupkg-extract/package/services/metadata/core-properties/4dfee7e94d0743ec858612e682dc5c24.psmdcp,file,4dfee7e94d0743ec858612e682dc5c24.psmdcp,4dfee7e94d0743ec858612e682dc5c24,.psmdcp,799,2016-03-15,b33ff541907c810dfabdb38bf5f934f1640d1f4b,701cc969fb2d4ee05dc02d5921e004ac,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,
