Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors
/1.2.0.nupkg-extract/,directory,1.2.0.nupkg-extract,1.2.0.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,6,8,8615,
/1.2.0.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,505,2016-03-31,b62444ccef0c398ed416d93fbe5fc80227d59935,31ddbdbed53cd61e103f74bc1f09b766,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,
/1.2.0.nupkg-extract/uibuilder.nuspec,file,uibuilder.nuspec,uibuilder,.nuspec,906,2016-03-31,ebdbd266ba76f5c51df02e5c9dd48eeeadac5a28,720cffaea99027bfa46b3e4adc52f328,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,
/1.2.0.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,494,
/1.2.0.nupkg-extract/_rels/.rels,file,.rels,.rels,,494,2016-03-31,bcc93898661aeaae5fdf036c4e41a42b2f881086,80b51b6125f79f9a1ba095081c9c3d05,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,
/1.2.0.nupkg-extract/content/,directory,content,content,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,2,2,5896,
/1.2.0.nupkg-extract/content/Scripts/,directory,Scripts,Scripts,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,1,5896,
/1.2.0.nupkg-extract/content/Scripts/uibuilder/,directory,uibuilder,uibuilder,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,5896,
/1.2.0.nupkg-extract/content/Scripts/uibuilder/uibuilder-1.2.d.ts,file,uibuilder-1.2.d.ts,uibuilder-1.2.d,.ts,388,2016-03-31,d9777f7dd85382a8071d6e75e244e1155ed7f79d,454ba52fb2df4f8c8b6e3ec9d5516ca2,text/plain,"ASCII text, with CRLF line terminators",TypeScript,False,True,False,False,True,False,False,False,False,False,0,0,0,
/1.2.0.nupkg-extract/content/Scripts/uibuilder/uibuilder-1.2.js,file,uibuilder-1.2.js,uibuilder-1.2,.js,5508,2016-03-31,68facd20b45e4b834a59bc9c8746b8098192106a,0dc5eaddc7afc3759e07404bc4ed9e79,text/plain,"ASCII text, with CRLF line terminators",JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,
/1.2.0.nupkg-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,3,814,
/1.2.0.nupkg-extract/package/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,2,814,
/1.2.0.nupkg-extract/package/services/metadata/,directory,metadata,metadata,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,814,
/1.2.0.nupkg-extract/package/services/metadata/core-properties/,directory,core-properties,core-properties,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,814,
/1.2.0.nupkg-extract/package/services/metadata/core-properties/556ef4c3c9104af69837bc7eea9c315b.psmdcp,file,556ef4c3c9104af69837bc7eea9c315b.psmdcp,556ef4c3c9104af69837bc7eea9c315b,.psmdcp,814,2016-03-31,2dfa1286e145e93227852680040f3b9105605668,0720202c80f844a27fe636f2e874d62c,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,
