Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/,directory,SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract,SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,5,7,32559,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,448,2016-04-01,a8f2fb6dc8d48852f9ca6a89f98192f93ad71c34,8e55e64b3577227bcecd3e1648ca13c9,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/SharePoint.Search.Extended.Administration.ResourceStorage.nuspec,file,SharePoint.Search.Extended.Administration.ResourceStorage.nuspec,SharePoint.Search.Extended.Administration.ResourceStorage,.nuspec,472,2016-04-01,88d423e3ab98e6d775d5720cdb2e0c73760874ea,465f3ccf23c1c5fd2218bc492c941cc0,application/xml,XML document text,,False,True,False,False,False,False,False,True,False,True,0,0,0,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,542,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/_rels/.rels,file,.rels,.rels,,542,2016-04-01,31d7ecfef170073ecc4330a7e66bd371c979bfaf,eac0e04a86d5a8af843041aab97aea22,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,1,30384,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/lib/Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage/,directory,Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage,Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,30384,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/lib/Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage/Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage.dll,file,Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage.dll,Microsoft.SharePoint.Search.Extended.Administration.ResourceStorage,.dll,30384,2016-04-01,10d545e482ab077b46c5bfde3856abe67c6e4bda,f6c69078694d0c98acc1e96ed1e182e7,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,3,713,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/package/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,2,713,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/package/services/metadata/,directory,metadata,metadata,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,713,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/package/services/metadata/core-properties/,directory,core-properties,core-properties,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,713,
/SharePoint.Search.Extended.Administration.ResourceStorage.nupkg-extract/package/services/metadata/core-properties/453b66e954a04702890a708f6a8dcee0.psmdcp,file,453b66e954a04702890a708f6a8dcee0.psmdcp,453b66e954a04702890a708f6a8dcee0,.psmdcp,713,2016-04-01,fe71906080b4c67636934675b556272f45a05de2,9d1451094d8e3ffd1df72a065fcba988,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,
