Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/bundler-1.16.6.gem-extract/,directory,bundler-1.16.6.gem-extract,bundler-1.16.6.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,300,58,1725774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,295,2018-10-05,8a4e6f584275d1527e37b42c17d67662a1e0b7bb,dba1cc1f33bb64c1f7ee8e7c472acfda,application/x-gzip,"gzip compressed data, last modified: Fri Oct 5 06:09:02 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,349772,2018-10-05,ac4f8b8dbe1d1c43adcd12fbd64aee81a9b8cf5b,a4fac1e33271d3b07589f46ce0f977dc,application/x-gzip,"gzip compressed data, last modified: Fri Oct 5 06:09:02 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,2753,2018-10-05,779a50897014eb96f18131737fa487c73155b563,6bc3ea6142d01c28ca00b20bef9c0fdc,application/x-gzip,"gzip compressed data, last modified: Fri Oct 5 06:09:02 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,468,2018-10-24,716fd444897781d5e076b5ff0c9d60b9961827d0,928e175485dfcd5c01f2f34c6a19f13d,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,295,55,1358296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/data.tar.gz-extract/bundler.gemspec,file,bundler.gemspec,bundler,.gemspec,2291,2018-10-05,9c8d25a59ab60e6e28c209ce8694fa8913036de7,245125efc10f8dd1ab2a0aee5495b4ea,text/plain,UTF-8 Unicode text,Ruby,False,True,False,False,True,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/bundler-1.16.6.gem-extract/data.tar.gz-extract/bundler.gemspec,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,10,10,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,,
/bundler-1.16.6.gem-extract/data.tar.gz-extract/CHANGELOG.md,file,CHANGELOG.md,CHANGELOG,.md,119405,2018-10-05,0340449d7d346be4cba073c26ad33337b001a244,b9c7e87e61cda38b1c54cdb31fb6c79d,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
