Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/clojure-1.10.0-RC1-sources.jar-extract/,directory,clojure-1.10.0-RC1-sources.jar-extract,clojure-1.10.0-RC1-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,217,11,2712348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/,directory,clojure,clojure,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,216,9,2712221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core.clj,file,core.clj,core,.clj,262631,2018-10-11,f37f0db140da123877ee8873c440c256f78b3831,1f5963871c7c1e956968df788399f0e5,text/plain,ASCII text,Clojure,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core.clj,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,29.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,3,3,epl-1.0_1.RULE,epl-1.0,[u'epl-1.0'],False,False,True,False,2-aho,5,5,100.00,29.00,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core.clj,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,47.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,3,3,epl-1.0_5.RULE,epl-1.0,[u'epl-1.0'],False,False,True,False,2-aho,8,8,100.00,47.00,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core.clj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Copyright (c) Rich Hickey.,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core.clj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,Rich Hickey.,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core_deftype.clj,file,core_deftype.clj,core_deftype,.clj,37191,2018-10-11,85118a8e3f06ca16339a7a57efa0097d181858de,0960e0fb7b599ddc29aa29b2b70017ed,text/plain,ASCII text,Clojure,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core_deftype.clj,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,29.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,3,3,epl-1.0_1.RULE,epl-1.0,[u'epl-1.0'],False,False,True,False,2-aho,5,5,100.00,29.00,,,
/clojure-1.10.0-RC1-sources.jar-extract/clojure/core_deftype.clj,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,47.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,3,3,epl-1.0_5.RULE,epl-1.0,[u'epl-1.0'],False,False,True,False,2-aho,8,8,100.00,47.00,,,
