Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/docutils-0.14.tar.gz-extract/,directory,docutils-0.14.tar.gz-extract,docutils-0.14.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,622,71,6057808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/,directory,docutils-0.14,docutils-0.14,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,622,70,6057808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/BUGS.txt,file,BUGS.txt,BUGS,.txt,9800,2017-06-09,f83df56d75f418f7a7924c8d362574dabd0af3eb,4c095fd8ea2b23868cb68b5fa3a6636e,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/BUGS.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,29.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,9,9,public-domain_45.RULE,public-domain,[u'public-domain'],True,False,False,False,2-aho,5,5,100.00,29.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,file,COPYING.txt,COPYING,.txt,5537,2015-05-08,4bd7c907124edb29e0878f3f65d0b6aa7f69e497,35a23d42b615470583563132872c97d6,text/plain,UTF-8 Unicode text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,29.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,9,9,public-domain_45.RULE,public-domain,[u'public-domain'],True,False,False,False,2-aho,5,5,100.00,29.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,29.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,11,12,public-domain_45.RULE,public-domain,[u'public-domain'],True,False,False,False,2-aho,5,5,100.00,29.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,11.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,13,13,public-domain_79.RULE,public-domain,[u'public-domain'],False,False,True,False,2-aho,2,2,100.00,11.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,11.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,19,19,public-domain_79.RULE,public-domain,[u'public-domain'],False,False,True,False,2-aho,2,2,100.00,11.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,11.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,26,26,public-domain_79.RULE,public-domain,[u'public-domain'],False,False,True,False,2-aho,2,2,100.00,11.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,11.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,34,34,public-domain_79.RULE,public-domain,[u'public-domain'],False,False,True,False,2-aho,2,2,100.00,11.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,29.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,38,38,public-domain_45.RULE,public-domain,[u'public-domain'],True,False,False,False,2-aho,5,5,100.00,29.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,29.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,49,49,public-domain_45.RULE,public-domain,[u'public-domain'],True,False,False,False,2-aho,5,5,100.00,29.00,,,
/docutils-0.14.tar.gz-extract/docutils-0.14/COPYING.txt,,,,,,,,,,,,,,,,,,,,,,,,,,public-domain,11.00,Public Domain,Public Domain,Public Domain,False,Unspecified,http://www.linfo.org/publicdomain.html,,https://enterprise.dejacode.com/urn/urn:dje:license:public-domain,,,56,56,public-domain_79.RULE,public-domain,[u'public-domain'],False,False,True,False,2-aho,2,2,100.00,11.00,,,
