Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/logback-classic-1.3.0-alpha4-sources.jar-extract/,directory,logback-classic-1.3.0-alpha4-sources.jar-extract,logback-classic-1.3.0-alpha4-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,187,34,513554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/module-info.java,file,module-info.java,module-info,.java,1426,2018-02-10,990137e65b50b37190d351a64d976b3e7856bbe5,eb0148b2c7e1ceb984c897bf2335fce8,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/,directory,ch,ch,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,182,29,511551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/,directory,qos,qos,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,182,28,511551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/,directory,logback,logback,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,182,27,511551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/,directory,classic,classic,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,182,26,511551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/AsyncAppender.java,file,AsyncAppender.java,AsyncAppender,.java,1836,2018-01-10,485695fa0d844693b09694339a49ed5f61ccc610,7786a67c2d072fd3988135ab38bc3b5f,text/html,"HTML document, ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/AsyncAppender.java,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,100.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,5,12,epl-1.0_or_lgpl-2.1.RULE,epl-1.0 OR lgpl-2.1,"[u'epl-1.0', u'lgpl-2.1']",False,True,False,False,2-aho,52,52,100.00,100.00,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/AsyncAppender.java,,,,,,,,,,,,,,,,,,,,,,,,,,lgpl-2.1,100.00,GNU Lesser General Public License 2.1,LGPL 2.1,Copyleft Limited,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/lgpl-2.1.html,http://www.gnu.org/licenses/lgpl-2.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:lgpl-2.1,LGPL-2.1-only,https://spdx.org/licenses/LGPL-2.1-only,5,12,epl-1.0_or_lgpl-2.1.RULE,epl-1.0 OR lgpl-2.1,"[u'epl-1.0', u'lgpl-2.1']",False,True,False,False,2-aho,52,52,100.00,100.00,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/AsyncAppender.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,"Copyright (c) 1999-2015, QOS.ch.",,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/AsyncAppender.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,QOS.ch.,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/BasicConfigurator.java,file,BasicConfigurator.java,BasicConfigurator,.java,2124,2018-01-10,ebcc990b4c07ef634656f2aaa5558926c092946b,d22ae016ccc37219f307046b378341f9,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/BasicConfigurator.java,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,100.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,5,12,epl-1.0_or_lgpl-2.1.RULE,epl-1.0 OR lgpl-2.1,"[u'epl-1.0', u'lgpl-2.1']",False,True,False,False,2-aho,52,52,100.00,100.00,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/BasicConfigurator.java,,,,,,,,,,,,,,,,,,,,,,,,,,lgpl-2.1,100.00,GNU Lesser General Public License 2.1,LGPL 2.1,Copyleft Limited,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/lgpl-2.1.html,http://www.gnu.org/licenses/lgpl-2.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:lgpl-2.1,LGPL-2.1-only,https://spdx.org/licenses/LGPL-2.1-only,5,12,epl-1.0_or_lgpl-2.1.RULE,epl-1.0 OR lgpl-2.1,"[u'epl-1.0', u'lgpl-2.1']",False,True,False,False,2-aho,52,52,100.00,100.00,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/BasicConfigurator.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,"Copyright (c) 1999-2015, QOS.ch.",,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/BasicConfigurator.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,QOS.ch.,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/ClassicConstants.java,file,ClassicConstants.java,ClassicConstants,.java,2294,2018-02-01,6a148ce052df318bf836d7d1852ef35e621277e2,694dfa9b1efccdbefd5bdd237c49b47c,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/ClassicConstants.java,,,,,,,,,,,,,,,,,,,,,,,,,,epl-1.0,100.00,Eclipse Public License 1.0,EPL 1.0,Copyleft Limited,False,Eclipse Foundation,http://www.eclipse.org/legal/epl-v10.html,http://www.eclipse.org/legal/epl-v10.html,https://enterprise.dejacode.com/urn/urn:dje:license:epl-1.0,EPL-1.0,https://spdx.org/licenses/EPL-1.0,5,12,epl-1.0_or_lgpl-2.1.RULE,epl-1.0 OR lgpl-2.1,"[u'epl-1.0', u'lgpl-2.1']",False,True,False,False,2-aho,52,52,100.00,100.00,,,
/logback-classic-1.3.0-alpha4-sources.jar-extract/ch/qos/logback/classic/ClassicConstants.java,,,,,,,,,,,,,,,,,,,,,,,,,,lgpl-2.1,100.00,GNU Lesser General Public License 2.1,LGPL 2.1,Copyleft Limited,False,Free Software Foundation (FSF),http://www.gnu.org/licenses/lgpl-2.1.html,http://www.gnu.org/licenses/lgpl-2.1.txt,https://enterprise.dejacode.com/urn/urn:dje:license:lgpl-2.1,LGPL-2.1-only,https://spdx.org/licenses/LGPL-2.1-only,5,12,epl-1.0_or_lgpl-2.1.RULE,epl-1.0 OR lgpl-2.1,"[u'epl-1.0', u'lgpl-2.1']",False,True,False,False,2-aho,52,52,100.00,100.00,,,
