Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/mockito-core-2.23.0-sources.jar-extract/,directory,mockito-core-2.23.0-sources.jar-extract,mockito-core-2.23.0-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,455,68,1267522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mockito-core-2.23.0-sources.jar-extract/LICENSE,file,LICENSE,LICENSE,,1080,2018-10-05,bb088c45b962f518e195a53c1c246adcb5af3abb,0c4d278fbad34d9bf01eb47614ab6d4f,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mockito-core-2.23.0-sources.jar-extract/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,98.24,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,1,21,mit_160.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,167,100.00,100.00,,,
/mockito-core-2.23.0-sources.jar-extract/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,Copyright (c) 2007 Mockito,,
/mockito-core-2.23.0-sources.jar-extract/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,Mockito,
/mockito-core-2.23.0-sources.jar-extract/META-INF/,directory,META-INF,META-INF,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,2,0,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mockito-core-2.23.0-sources.jar-extract/META-INF/dependency-info.md,file,dependency-info.md,dependency-info,.md,292,2018-10-05,d63ee76347afea42edfac3a790e753fc2259dbc3,d17a4e5ab495b1c9eb3910319ea0ada3,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mockito-core-2.23.0-sources.jar-extract/META-INF/MANIFEST.MF,file,MANIFEST.MF,MANIFEST,.MF,25,2018-10-05,79e33dd52ebdf615e6696ae69add91cb990d81e2,92d04d6bd8a0235843240bba30d2f091,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mockito-core-2.23.0-sources.jar-extract/org/,directory,org,org,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,452,66,1266125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mockito-core-2.23.0-sources.jar-extract/org/mockito/,directory,mockito,mockito,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,452,65,1266125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
