Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/pyasn1-0.4.4.tar.gz-extract/,directory,pyasn1-0.4.4.tar.gz-extract,pyasn1-0.4.4.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,154,36,710558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/,directory,pyasn1-0.4.4,pyasn1-0.4.4,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,154,35,710558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/CHANGES.rst,file,CHANGES.rst,CHANGES,.rst,28811,2018-07-26,f459a334060cd010c03dff261ccab41f477fabb6,b49246e227e877496b52a01e910ecb12,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/CHANGES.rst,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-simplified,50.00,BSD-2-Clause,BSD-2-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/bsd-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-simplified,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause,359,359,spdx_license_id_bsd-2-clause_for_bsd-simplified.RULE,bsd-simplified,[u'bsd-simplified'],False,False,True,False,2-aho,3,3,100.00,50.00,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/CHANGES.rst,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-simplified,50.00,BSD-2-Clause,BSD-2-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/bsd-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-simplified,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause,360,360,spdx_license_id_bsd-2-clause_for_bsd-simplified.RULE,bsd-simplified,[u'bsd-simplified'],False,False,True,False,2-aho,3,3,100.00,50.00,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/LICENSE.rst,file,LICENSE.rst,LICENSE,.rst,1334,2018-03-29,5744bc18d3a014e3bccff7630f8dd48f7732216f,815ac3f9ca693006349094b358ab3155,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/LICENSE.rst,,,,,,,,,,,,,,,,,,,,,,,,,,bsd-simplified,100.00,BSD-2-Clause,BSD-2-Clause,Permissive,False,Regents of the University of California,http://www.opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/bsd-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-simplified,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause,2,24,bsd-simplified_55.RULE,bsd-simplified,[u'bsd-simplified'],True,False,False,False,2-aho,187,187,100.00,100.00,,,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/LICENSE.rst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,"Copyright (c) 2005-2018, Ilya Etingof <etingof@gmail.com>",,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/LICENSE.rst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,Ilya Etingof,
/pyasn1-0.4.4.tar.gz-extract/pyasn1-0.4.4/MANIFEST.in,file,MANIFEST.in,MANIFEST,.in,146,2017-11-21,99f7a7e615461a09c83f8b2f237c6c07d9ece5df,a54a456640613170b51c68d596c7c6d6,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
