Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/react-16.5.2.tgz-extract/,directory,react-16.5.2.tgz-extract,react-16.5.2.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,9,3,174207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,9,2,174207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/index.js,file,index.js,index,.js,190,1985-10-26,a69a7f3d4a4636bf9035bc53c05b2d99a7b8af7f,3c705474d87ac8a9b47623a9c3833989,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/LICENSE,file,LICENSE,LICENSE,,1086,1985-10-26,1506731a652bba9abdf804ba3c95651ec5a68bdc,901f6cd9846257b3a9c69dbd0a49caf1,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.40,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,1,21,mit_160.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,166,99.40,100.00,,
/react-16.5.2.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,"Copyright (c) Facebook, Inc. and its affiliates.",
/react-16.5.2.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,"Facebook, Inc. and its affiliates."
/react-16.5.2.tgz-extract/package/package.json,file,package.json,package,.json,667,1985-10-26,2ce43d07dc42992ef6c45e5fecb989353e397986,a002f747d03606fc44e63647a5902f66,text/plain,ASCII text,,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/package.json,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,10,10,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,
/react-16.5.2.tgz-extract/package/README.md,file,README.md,README,.md,737,1985-10-26,57ca2ec3034ef7a9c86ab9eb721f738d3d7edc39,3d8e2bf416763e92685e9d8308799cf1,text/plain,"ASCII text, with very long lines",Objective-C,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/cjs/,directory,cjs,cjs,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,2,0,62782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/cjs/react.development.js,file,react.development.js,react.development,.js,56658,1985-10-26,3993706f8822f9b1b540b0d44f662f20426a7b81,e04bad67a194d707ac29b023232ecff2,text/plain,"ASCII text, with very long lines",JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/cjs/react.development.js,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,6,7,mit_101.RULE,mit,[u'mit'],False,True,False,False,2-aho,22,22,100.00,100.00,,
/react-16.5.2.tgz-extract/package/cjs/react.development.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,"Copyright (c) Facebook, Inc. and its affiliates.",
/react-16.5.2.tgz-extract/package/cjs/react.development.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,"Facebook, Inc. and its affiliates."
/react-16.5.2.tgz-extract/package/cjs/react.production.min.js,file,react.production.min.js,react.production.min,.js,6124,1985-10-26,4f5c1179e209e1b1374426507bd136b9fb52ae58,bd5798cdac60200059553f5b9bc5ce40,text/plain,"ASCII text, with very long lines",JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/react-16.5.2.tgz-extract/package/cjs/react.production.min.js,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,6,7,mit_101.RULE,mit,[u'mit'],False,True,False,False,2-aho,22,22,100.00,100.00,,
/react-16.5.2.tgz-extract/package/cjs/react.production.min.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,"Copyright (c) Facebook, Inc. and its affiliates.",
/react-16.5.2.tgz-extract/package/cjs/react.production.min.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,"Facebook, Inc. and its affiliates."
/react-16.5.2.tgz-extract/package/umd/,directory,umd,umd,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,3,0,108745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
