Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/rspec-support-3.8.0.gem-extract/,directory,rspec-support-3.8.0.gem-extract,rspec-support-3.8.0.gem-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,42,8,132083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/checksums.yaml.gz,file,checksums.yaml.gz,checksums.yaml,.gz,271,2018-08-04,57cbde89fcb48795e0ba360d403df6109d77c8c3,ff067c434400c62861d2c63640dae499,application/x-gzip,"gzip compressed data, last modified: Sat Aug 4 19:48:48 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/checksums.yaml.gz.sig,file,checksums.yaml.gz.sig,checksums.yaml.gz,.sig,512,2018-08-04,0fc1c3dfab5884d08f55c5f0fdf2aaf4715441ce,e18003135047c8588fe977d79899d28c,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/data.tar.gz,file,data.tar.gz,data,.tar.gz,27030,2018-08-04,99170c1beccff1f998787873e0bd156af46ca9ef,d4bbd0bffd5d9c7b3f606305f53983b6,application/x-gzip,"gzip compressed data, last modified: Sat Aug 4 19:48:48 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/data.tar.gz.sig,file,data.tar.gz.sig,data.tar.gz,.sig,512,2018-08-04,65d61657bdc8129067191e6a01651c0cbf2434bb,7a2565af171e6278f0d2d9e63a62b0d8,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/metadata.gz,file,metadata.gz,metadata,.gz,2592,2018-08-04,631283161faf72604c2081235f9acbbda6ea980f,292a8428e4db336e7b5e5693e8bda0df,application/x-gzip,"gzip compressed data, last modified: Sat Aug 4 19:48:48 2018, max compression, from Unix",,True,False,True,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/metadata.gz.sig,file,metadata.gz.sig,metadata.gz,.sig,512,2018-08-04,d392c13135251dc0e0ec03c824db49adaa4b1b3f,f59a3bfdc93f39e5fc4d742c50cdfd5f,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/checksums.yaml.gz-extract/,directory,checksums.yaml.gz-extract,checksums.yaml.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/checksums.yaml.gz-extract/checksums.yaml.gz-extract,file,checksums.yaml.gz-extract,checksums.yaml,.gz-extract,418,2018-10-24,b1fe222d9c137391590603cce110c848cb621a38,a16f25adea5c8a1eedb0a28ff2ac0c0e,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-support-3.8.0.gem-extract/data.tar.gz-extract/,directory,data.tar.gz-extract,data.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,34,5,94718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
