Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/,directory,slf4j-log4j12-1.8.0-beta2-sources.jar-extract,slf4j-log4j12-1.8.0-beta2-sources.jar-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,9,7,34274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/META-INF/,directory,META-INF,META-INF,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,2,1,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/META-INF/MANIFEST.MF,file,MANIFEST.MF,MANIFEST,.MF,124,2018-03-21,0f331ba34512afb817573006118dd96bd76d1d3d,525d09c62c4540f4e9c21e4b62112bac,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/META-INF/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/META-INF/services/org.slf4j.spi.SLF4JServiceProvider,file,org.slf4j.spi.SLF4JServiceProvider,org.slf4j.spi,.SLF4JServiceProvider,42,2018-01-15,93f2fb8f8dff092b88713a091c5d75f7ce71ffbc,d009d8d34d5d2db8f29e0a3349278b1a,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/org/,directory,org,org,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,7,4,34108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/org/apache/,directory,apache,apache,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/org/apache/log4j/,directory,log4j,log4j,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/org/apache/log4j/MDCFriend.java,file,MDCFriend.java,MDCFriend,.java,1930,2018-01-15,04d38de91fa9cc8e479668404f223bfa7681f715,1ec4538963b3610f98ca9f60b2f09ba4,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/slf4j-log4j12-1.8.0-beta2-sources.jar-extract/org/slf4j/,directory,slf4j,slf4j,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,6,1,32178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
