Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder,author
/webpack-4.22.0.tgz-extract/,directory,webpack-4.22.0.tgz-extract,webpack-4.22.0.tgz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,328,19,1311132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/webpack-4.22.0.tgz-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,328,18,1311132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/webpack-4.22.0.tgz-extract/package/LICENSE,file,LICENSE,LICENSE,,1071,2018-07-13,3bebb9ba92e45dd02a0512e144f6a46b14a9b8ab,95a881ed5cb29fc8a0fa0356525f30ac,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/webpack-4.22.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,3,20,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,,
/webpack-4.22.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,Copyright JS Foundation and other contributors,,
/webpack-4.22.0.tgz-extract/package/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,JS Foundation and other contributors,
/webpack-4.22.0.tgz-extract/package/package.json,file,package.json,package,.json,8336,2018-10-21,9eb890fbac148554679edaa4d4ad215a1102cf27,7fc212ee7d5c23fff6b5ae5dc3683a2a,text/plain,"ASCII text, with very long lines",,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/webpack-4.22.0.tgz-extract/package/package.json,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,6,6,mit_34.RULE,mit,[u'mit'],False,False,False,True,2-aho,2,2,100.00,99.00,,,
/webpack-4.22.0.tgz-extract/package/README.md,file,README.md,README,.md,79986,2018-10-17,052a1c11df0076a9763c4ac138098759c9986ce8,27956740a7b34b1d20dd661814333d7b,text/html,"HTML document, UTF-8 Unicode text, with very long lines",Prolog,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/webpack-4.22.0.tgz-extract/package/SECURITY.md,file,SECURITY.md,SECURITY,.md,349,2018-07-26,c0751e9d3488d6a9abeaba3409617cae43fc1291,cc19f10a0d991885fb9d7c19f49ff907,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
